,avg
202108,28.321461323177004
202106,27.20107363259143
202104,26.513269111200714
202102,26.539848359109783
202109,29.036547654972992
202107,27.591279152115476
202111,28.190291047403605
202110,29.147198123653936
202112,27.739694114211318
202105,27.161306123475413
202103,26.393633114710212
202101,27.0877813363187
202008,28.78540891446937
202006,27.483577693952043
202004,27.141888042248297
202002,26.776860299951807
202009,29.56645055953726
202007,27.968294325939212
202011,28.783082761222147
202010,29.37387454521121
202012,27.977350446372498
202005,27.177779620593583
202003,27.069987308501936
202001,27.063782467966973
202208,28.51603351139562
202206,27.47698460958128
202204,26.701396655350266
202202,26.673278035242788
202209,29.38842229347415
202207,27.441227412662272
202211,28.446578454454425
202210,29.038678563171572
202212,27.447938659787553
202205,27.112238583127578
202203,26.698562210243267
202201,26.93353028072181
