,max
202108,29.504999999999995
202106,28.262999999999977
202104,27.360000000000014
202102,27.499000000000024
202109,30.439999999999998
202107,28.53800000000001
202111,28.95500000000004
202110,30.459000000000003
202112,28.887
202105,28.100000000000023
202103,27.185000000000002
202101,28.064999999999998
202008,29.82000000000005
202006,28.69500000000005
202004,28.152000000000044
202002,27.79400000000004
202009,31.113999999999976
202007,29.59200000000004
202011,30.194000000000017
202010,30.331000000000017
202012,28.858000000000004
202005,28.071000000000026
202003,27.779999999999973
202001,28.180000000000007
202208,30.331000000000017
202206,28.383000000000038
202204,28.011000000000024
202202,27.432000000000016
202209,30.51600000000002
202207,29.022000000000048
202211,29.74200000000002
202210,30.008000000000038
202212,28.670000000000016
202205,28.085000000000036
202203,27.754999999999995
202201,27.89100000000002
