Date,Min,Max,Mean
202001,26.48400000000004,28.010000000000048,27.247935483870982
202002,26.297000000000025,27.708000000000027,27.01617241379312
202003,26.610000000000014,27.635000000000048,27.216838709677432
202004,26.480999999999995,27.70700000000005,27.31320000000003
202005,26.610000000000014,27.99600000000004,27.423032258064527
202006,26.563000000000045,28.19900000000001,27.57750000000002
202007,27.583000000000027,28.789000000000044,28.196806451612915
202008,28.69300000000004,29.745000000000005,29.026935483870986
202009,29.033000000000012,30.951000000000025,29.82876666666669
202010,28.49200000000002,30.192000000000007,29.47670967741936
202011,27.93300000000005,29.68700000000001,28.87046666666669
202012,27.22200000000004,28.583000000000027,28.121266666666678
202101,26.58200000000005,27.897000000000048,27.269096774193567
202102,26.327,26.946000000000023,26.6981153846154
202103,26.039000000000044,26.838000000000022,26.477580645161314
202104,26.253000000000043,27.33200000000005,26.756965517241404
202105,26.861000000000047,27.704000000000008,27.262033333333346
202106,27.05000000000001,28.17500000000001,27.559033333333353
202107,26.644000000000005,28.512999999999977,27.643225806451618
202108,27.67100000000005,29.257000000000005,28.64354838709679
202109,28.260000000000048,30.088000000000022,29.22430000000001
202110,28.25900000000001,30.086000000000013,29.26006451612905
202111,27.90600000000001,28.708000000000027,28.342566666666677
202112,27.56200000000001,28.42100000000005,28.011129032258086
202201,26.60900000000004,27.779999999999973,27.17951612903227
202202,26.539000000000044,27.313000000000045,26.865714285714315
202203,26.547000000000025,27.56800000000004,26.92658064516131
202204,26.22900000000004,27.87900000000002,26.852533333333344
202205,26.87200000000001,27.79600000000005,27.25512903225809
202206,26.801000000000045,28.123000000000047,27.561466666666682
202207,26.709000000000003,28.90100000000001,27.675516129032278
202208,27.60900000000004,29.81800000000004,28.766677419354863
202209,28.83200000000005,30.461000000000013,29.512900000000013
202210,28.470000000000027,29.974000000000046,29.145064516129043
202211,27.861000000000047,29.279,28.56531034482761
202212,26.791,28.504999999999995,27.635838709677447
