Date,Min,Max,Mean
202001,26.613,27.70500000000004,27.157516129032278
202002,26.309000000000022,27.522000000000048,26.842379310344842
202003,26.815,27.52000000000004,27.180645161290343
202004,26.44,27.57000000000005,27.152466666666683
202005,26.16500000000002,27.77600000000001,27.239419354838724
202006,26.744000000000028,28.55800000000005,27.664966666666682
202007,27.274999999999977,28.916999999999973,28.089387096774207
202008,28.423,29.654,28.971935483870993
202009,28.968000000000018,30.593000000000018,29.690233333333357
202010,28.78400000000005,30.077,29.48454838709679
202011,28.12100000000004,29.529999999999973,28.853233333333346
202012,27.238,28.57799999999997,28.032833333333354
202101,26.55800000000005,27.77000000000004,27.16448387096776
202102,26.351999999999972,26.75200000000001,26.57657692307694
202103,26.15300000000002,27.0,26.548096774193578
202104,26.129999999999995,27.06599999999997,26.621241379310348
202105,26.583000000000027,27.75200000000001,27.242566666666676
202106,26.723000000000013,27.67100000000005,27.219233333333356
202107,27.08999999999997,28.242999999999995,27.839322580645185
202108,27.517,29.06400000000002,28.36300000000002
202109,28.14100000000002,30.15100000000001,29.173500000000022
202110,28.273000000000025,30.101999999999972,29.28235483870969
202111,27.920000000000016,28.725000000000023,28.288500000000006
202112,27.236000000000047,28.16500000000002,27.812193548387107
202201,26.40600000000001,27.54400000000004,26.9769677419355
202202,26.593000000000018,26.886000000000024,26.76350000000002
202203,26.172000000000025,27.473000000000013,26.76545161290325
202204,26.315,27.986000000000047,26.769000000000016
202205,26.640000000000043,27.845000000000027,27.163548387096785
202206,26.74700000000001,27.96499999999997,27.495833333333348
202207,26.644000000000005,28.285000000000025,27.48041935483873
202208,27.0,29.69099999999997,28.497612903225818
202209,28.918000000000006,30.26600000000002,29.54566666666668
202210,28.724000000000046,29.86600000000004,29.16435483870969
202211,27.71499999999997,29.178,28.515793103448285
202212,26.757000000000005,28.182000000000016,27.478838709677444
