Date,Min,Max,Mean
202001,26.500999999999976,27.85900000000004,27.07396774193551
202002,26.286,27.46900000000005,26.841000000000008
202003,26.80800000000005,27.52000000000004,27.147645161290352
202004,26.55200000000002,27.870000000000005,27.231466666666687
202005,26.297000000000025,27.920000000000016,27.290516129032284
202006,26.624000000000024,28.272000000000048,27.48390000000002
202007,27.41300000000001,28.686000000000035,27.980838709677442
202008,28.450000000000045,29.49100000000004,28.91093548387099
202009,28.82400000000001,30.64299999999997,29.700700000000015
202010,28.83700000000005,30.269000000000005,29.48532258064518
202011,28.10300000000001,29.636000000000024,28.887900000000016
202012,27.083000000000027,28.56800000000004,28.07036666666669
202101,26.69300000000004,27.72800000000001,27.19741935483873
202102,26.374000000000024,26.87900000000002,26.584192307692327
202103,25.994000000000028,26.89500000000004,26.418129032258083
202104,26.053,27.178999999999974,26.652758620689674
202105,26.648000000000025,27.721000000000004,27.270933333333353
202106,26.87900000000002,27.709000000000003,27.324100000000012
202107,26.879999999999995,28.166,27.73103225806453
202108,27.529999999999973,29.125999999999976,28.409290322580663
202109,28.119000000000028,29.85400000000004,29.09606666666668
202110,28.331000000000017,29.738999999999976,29.18880645161292
202111,27.839,28.75400000000002,28.305033333333352
202112,27.390000000000043,28.277000000000044,27.828322580645178
202201,26.463000000000022,27.64299999999997,26.99029032258066
202202,26.404,27.004999999999995,26.7612142857143
202203,26.326000000000025,27.27800000000002,26.753903225806468
202204,26.24700000000001,27.94300000000004,26.76033333333335
202205,26.69099999999997,27.91300000000001,27.16887096774196
202206,26.980000000000015,28.112000000000023,27.608033333333356
202207,26.434000000000022,28.584000000000003,27.52190322580646
202208,27.397000000000048,29.726,28.638000000000016
202209,28.67500000000001,30.18100000000004,29.388633333333352
202210,28.33200000000005,29.769000000000005,29.060806451612926
202211,27.74700000000001,29.248000000000047,28.569275862068984
202212,26.69300000000004,28.346000000000004,27.560161290322604
