Date,Min,Max,Mean
202001,26.303,27.898000000000025,27.042612903225816
202002,26.076000000000025,27.612000000000023,26.798103448275878
202003,26.911,27.571000000000023,27.17832258064517
202004,26.640000000000043,27.58200000000005,27.12200000000001
202005,26.27100000000001,27.791,27.233483870967753
202006,26.82300000000004,28.13400000000001,27.641200000000016
202007,27.036,29.48400000000004,28.115806451612915
202008,27.791999999999973,29.60300000000001,28.836548387096773
202009,29.076000000000025,30.209000000000003,29.569033333333355
202010,28.738999999999976,29.849000000000046,29.396354838709694
202011,28.37900000000002,29.721000000000004,28.998433333333356
202012,27.166,28.69900000000001,28.025733333333353
202101,26.036,27.70299999999997,27.073645161290333
202102,26.29400000000004,26.91500000000002,26.649692307692323
202103,25.99600000000004,27.00599999999997,26.552387096774208
202104,25.89500000000004,27.089,26.691310344827606
202105,26.833000000000027,27.64100000000002,27.263566666666694
202106,26.62700000000001,27.75,27.196366666666687
202107,26.77000000000004,28.399999999999977,27.64506451612905
202108,27.58999999999997,29.17100000000005,28.453129032258072
202109,28.113999999999976,29.96200000000005,29.09030000000002
202110,28.436000000000035,29.980999999999995,29.19967741935486
202111,27.72900000000004,28.63300000000004,28.21936666666669
202112,27.125,28.216000000000008,27.810096774193564
202201,26.379999999999995,27.62900000000002,26.94651612903226
202202,26.486000000000047,26.894000000000005,26.7064642857143
202203,26.084000000000003,27.436000000000035,26.717741935483886
202204,26.41300000000001,28.011000000000024,26.840266666666675
202205,26.541,27.923,27.211967741935503
202206,26.678,28.16300000000001,27.552500000000016
202207,26.93900000000002,28.619000000000028,27.49645161290325
202208,27.404999999999973,29.836000000000013,28.585612903225815
202209,28.886000000000024,30.214,29.537833333333342
202210,28.642,29.73400000000004,29.21977419354841
202211,27.869000000000028,29.147000000000048,28.518103448275877
202212,26.76400000000001,28.022000000000048,27.451774193548406
