Date,Min,Max,Mean
202001,26.524999999999977,28.047000000000025,27.244193548387102
202002,26.375,27.701000000000025,27.011068965517254
202003,26.59400000000005,27.658000000000012,27.21225806451615
202004,26.49000000000001,27.726,27.320000000000014
202005,26.55800000000005,27.983000000000004,27.420580645161312
202006,26.575000000000045,28.200000000000045,27.565600000000018
202007,27.586000000000013,28.772000000000048,28.202516129032272
202008,28.682000000000016,29.72800000000001,29.026516129032277
202009,28.988,30.938000000000045,29.813100000000016
202010,28.488999999999976,30.21000000000004,29.470516129032273
202011,27.916,29.676000000000045,28.876433333333356
202012,27.29000000000002,28.647000000000048,28.12420000000002
202101,26.543000000000006,27.85400000000004,27.270612903225818
202102,26.36700000000002,26.97200000000004,26.688500000000015
202103,26.110000000000014,26.84700000000004,26.482580645161306
202104,26.25800000000004,27.319000000000017,26.741206896551738
202105,26.813000000000045,27.673,27.25496666666669
202106,27.06800000000004,28.148000000000025,27.561700000000027
202107,26.62700000000001,28.480000000000015,27.63448387096776
202108,27.612000000000023,29.226,28.61945161290324
202109,28.24700000000001,30.101999999999972,29.208866666666673
202110,28.31400000000002,30.047000000000025,29.25412903225808
202111,27.839,28.69099999999997,28.34043333333334
202112,27.58700000000005,28.458000000000027,28.012516129032285
202201,26.613,27.79400000000004,27.176870967741955
202202,26.54600000000005,27.286999999999978,26.854357142857147
202203,26.541,27.53800000000001,26.919870967741954
202204,26.272000000000048,27.879999999999995,26.858633333333355
202205,26.851999999999972,27.793000000000006,27.247032258064525
202206,26.834000000000003,28.12900000000002,27.58263333333336
202207,26.69500000000005,28.935,27.670709677419367
202208,27.572000000000003,29.686000000000035,28.762903225806475
202209,28.819000000000017,30.450000000000045,29.499866666666676
202210,28.41900000000004,29.956000000000017,29.138709677419374
202211,27.84200000000004,29.257000000000005,28.559862068965536
202212,26.811000000000035,28.53100000000001,27.63632258064518
