Date,Min,Max,Mean
202001,26.49700000000001,28.012,27.238258064516156
202002,26.265000000000043,27.702,27.016758620689664
202003,26.649999999999977,27.63400000000001,27.212483870967755
202004,26.49100000000004,27.70500000000004,27.30866666666668
202005,26.596000000000004,28.012999999999977,27.413290322580664
202006,26.553999999999974,28.209000000000003,27.57873333333335
202007,27.567000000000007,28.78200000000004,28.176741935483886
202008,28.661999999999978,29.748000000000047,29.017903225806467
202009,29.03100000000001,30.932000000000016,29.82043333333336
202010,28.476,30.192000000000007,29.475838709677426
202011,27.980000000000015,29.664000000000044,28.87526666666669
202012,27.186000000000035,28.625,28.116333333333348
202101,26.53100000000001,27.855999999999995,27.257096774193563
202102,26.374000000000024,26.96900000000005,26.706730769230788
202103,26.02000000000004,26.848000000000013,26.46080645161292
202104,26.202,27.327,26.74858620689657
202105,26.88300000000004,27.70500000000004,27.25940000000001
202106,27.05200000000002,28.09700000000004,27.53716666666669
202107,26.57000000000005,28.474000000000046,27.643000000000015
202108,27.654999999999973,29.261000000000024,28.638032258064523
202109,28.250999999999976,30.128000000000043,29.217466666666688
202110,28.237000000000023,30.06800000000004,29.246129032258075
202111,27.875999999999976,28.723000000000013,28.34360000000003
202112,27.563000000000045,28.418000000000006,28.011741935483887
202201,26.59700000000004,27.789000000000044,27.177258064516142
202202,26.53800000000001,27.31200000000001,26.86507142857144
202203,26.535000000000025,27.571000000000023,26.936096774193555
202204,26.305000000000007,27.886000000000024,26.851933333333356
202205,26.875,27.799000000000035,27.249838709677444
202206,26.91500000000002,28.08200000000005,27.572966666666684
202207,26.661999999999978,28.838000000000022,27.67858064516131
202208,27.61600000000004,29.93300000000005,28.762580645161297
202209,28.80800000000005,30.434000000000022,29.49710000000001
202210,28.442000000000007,29.973000000000013,29.138064516129038
202211,27.86700000000002,29.30000000000001,28.568793103448296
202212,26.803999999999974,28.495000000000005,27.630193548387112
