0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,3.02,3.07,3.13,3.19,3.25,,,,,,,,,,,,,,,,,
,3.02,3.07,,,3.24,3.3,3.34,,,,,,,,,,,,,,,,
3.04,3.09,,,,,3.35,3.4,,,,,,,,,,,,,,,,
3.11,3.15,,,,,,3.43,3.46,,,,,,,,,,,,,,,
3.16,3.19,,,,,,,3.47,3.49,3.49,,,,,,,,,,,,,
3.19,3.22,,,,,,,,3.48,3.49,3.49,,,,,,,,,,,,
3.19,3.23,,,,,,,,,,3.49,3.5,3.51,3.53,,,,,,,,,
,3.23,,,,,,,,,,,,3.51,3.53,3.54,3.56,,,,,,,
,3.24,,,,,,,,,,,,,3.52,3.55,3.57,3.6,3.63,3.66,3.68,3.69,3.68,
,3.26,3.31,3.38,3.46,3.54,3.58,3.6,3.58,,,,,,,,,,,3.65,3.66,3.68,3.67,3.66
,,,,,,,,3.58,3.56,3.53,3.5,,,,,,,,,,,3.66,3.64
,,,,,,,,,,3.52,3.5,3.49,,,,,,,,,3.62,3.62,
,,,,,,,,,,,,3.46,,,,,,,,,3.59,3.59,
,,,,,,,,,,,,3.42,3.43,,,,,,,,3.55,,
,,,,,,,,,,3.34,3.37,3.38,3.4,,,,,,,,3.51,3.51,
,,,,,,,,,3.25,3.29,,3.35,3.36,3.37,,,,,,,,3.46,
,,,,,,,,,3.21,3.24,3.28,3.31,3.33,3.33,,,,,,,,3.38,3.37
,,,,,,,,,,,3.23,3.26,,3.3,,,,,,,,3.29,3.29
,,,,,,,,,,,,,3.23,3.25,,,,,,,,3.22,3.21
,,,,,,,,,,,,3.16,3.18,,,,,,,,,3.14,3.15
,,,,,,,,,,,,3.11,3.13,,,,,,,,3.08,3.07,
,,,,,,,,,,,,,3.08,3.1,,,,3.1,3.06,3.04,3.02,,
,,,,,,,,,,,,,3.04,3.06,,,,,3.04,,,,
,,,,,,,,,,,,,,3.02,,,,,3.03,,,,
,,,,,,,,,,,,,,2.98,,,,,3.03,3.03,,,
,,,,,,,,,,,,,,2.93,,,,,3.0,3.03,,,
,,,,,,,,,,,,,,2.89,2.9,,,,,3.02,,,
,,,,,,,,,,,,,,,2.85,2.86,,,2.96,3.0,,,
,,,,,,,,,,,,,,,,2.85,2.88,2.92,2.95,,,,
,,,,,,,,,,,,,,,,,2.9,2.93,,,,,
