0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.12,0.12,0.11,0.12,0.12,,,,,,,,,,,,,,,,,
,0.12,0.12,,,0.11,0.12,0.12,,,,,,,,,,,,,,,,
0.14,0.13,,,,,0.12,0.12,,,,,,,,,,,,,,,,
0.14,0.14,,,,,,0.12,0.13,,,,,,,,,,,,,,,
0.15,0.14,,,,,,,0.13,0.14,0.14,,,,,,,,,,,,,
0.15,0.14,,,,,,,,0.13,0.13,0.13,,,,,,,,,,,,
0.15,0.15,,,,,,,,,,0.12,0.13,0.13,0.13,,,,,,,,,
,0.14,,,,,,,,,,,,0.13,0.13,0.14,0.15,,,,,,,
,0.14,,,,,,,,,,,,,0.13,0.13,0.15,0.15,0.16,0.18,0.2,0.23,0.26,
,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,0.18,0.2,0.23,0.26,0.28
,,,,,,,,0.15,0.14,0.14,0.13,,,,,,,,,,,0.26,0.28
,,,,,,,,,,0.14,0.14,0.13,,,,,,,,,0.23,0.26,
,,,,,,,,,,,,0.14,,,,,,,,,0.23,0.26,
,,,,,,,,,,,,0.14,0.14,,,,,,,,0.23,,
,,,,,,,,,,0.15,0.15,0.15,0.14,,,,,,,,0.24,0.26,
,,,,,,,,,0.15,0.15,,0.15,0.15,0.15,,,,,,,,0.26,
,,,,,,,,,0.16,0.15,0.15,0.15,0.15,0.15,,,,,,,,0.26,0.27
,,,,,,,,,,,0.16,0.16,,0.16,,,,,,,,0.25,0.27
,,,,,,,,,,,,,0.16,0.16,,,,,,,,0.24,0.25
,,,,,,,,,,,,0.17,0.17,,,,,,,,,0.24,0.24
,,,,,,,,,,,,0.19,0.18,,,,,,,,0.23,0.23,
,,,,,,,,,,,,,0.2,0.2,,,,0.21,0.21,0.22,0.23,,
,,,,,,,,,,,,,0.23,0.23,,,,,0.23,,,,
,,,,,,,,,,,,,,0.28,,,,,0.25,,,,
,,,,,,,,,,,,,,0.33,,,,,0.28,0.27,,,
,,,,,,,,,,,,,,0.38,,,,,0.31,0.3,,,
,,,,,,,,,,,,,,0.43,0.42,,,,,0.34,,,
,,,,,,,,,,,,,,,0.45,0.44,,,0.39,0.37,,,
,,,,,,,,,,,,,,,,0.47,0.46,0.45,0.43,,,,
,,,,,,,,,,,,,,,,,0.48,0.47,,,,,
