0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.67,0.7,0.72,0.76,0.8,,,,,,,,,,,,,,,,,
,0.69,0.71,,,0.78,0.81,0.83,,,,,,,,,,,,,,,,
0.71,0.73,,,,,0.82,0.84,,,,,,,,,,,,,,,,
0.74,0.75,,,,,,0.86,0.87,,,,,,,,,,,,,,,
0.77,0.78,,,,,,,0.89,0.9,0.89,,,,,,,,,,,,,
0.79,0.8,,,,,,,,0.91,0.9,0.89,,,,,,,,,,,,
0.8,0.82,,,,,,,,,,0.91,0.89,0.88,0.87,,,,,,,,,
,0.82,,,,,,,,,,,,0.87,0.87,0.86,0.86,,,,,,,
,0.81,,,,,,,,,,,,,0.86,0.85,0.85,0.86,0.87,0.9,0.91,0.92,0.92,
,0.79,0.81,0.84,0.86,0.88,0.88,0.89,0.9,,,,,,,,,,,0.86,0.87,0.87,0.87,0.84
,,,,,,,,0.87,0.89,0.9,0.89,,,,,,,,,,,0.81,0.79
,,,,,,,,,,0.88,0.88,0.86,,,,,,,,,0.76,0.75,
,,,,,,,,,,,,0.82,,,,,,,,,0.71,0.7,
,,,,,,,,,,,,0.77,0.75,,,,,,,,0.67,,
,,,,,,,,,,0.73,0.73,0.72,0.71,,,,,,,,0.63,0.61,
,,,,,,,,,0.67,0.68,,0.68,0.67,0.66,,,,,,,,0.57,
,,,,,,,,,0.62,0.62,0.64,0.64,0.64,0.63,,,,,,,,0.52,0.52
,,,,,,,,,,,0.59,0.6,,0.6,,,,,,,,0.49,0.49
,,,,,,,,,,,,,0.56,0.57,,,,,,,,0.47,0.47
,,,,,,,,,,,,0.52,0.53,,,,,,,,,0.46,0.46
,,,,,,,,,,,,0.5,0.5,,,,,,,,0.48,0.47,
,,,,,,,,,,,,,0.48,0.48,,,,0.51,0.51,0.51,0.5,,
,,,,,,,,,,,,,0.47,0.47,,,,,0.53,,,,
,,,,,,,,,,,,,,0.48,,,,,0.56,,,,
,,,,,,,,,,,,,,0.48,,,,,0.6,0.61,,,
,,,,,,,,,,,,,,0.49,,,,,0.63,0.64,,,
,,,,,,,,,,,,,,0.51,0.55,,,,,0.67,,,
,,,,,,,,,,,,,,,0.59,0.63,,,0.69,0.7,,,
,,,,,,,,,,,,,,,,0.67,0.69,0.71,0.74,,,,
,,,,,,,,,,,,,,,,,0.73,0.75,,,,,
