0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,1.78,1.83,1.85,1.86,1.85,,,,,,,,,,,,,,,,,
,1.7,1.77,,,1.84,1.83,1.83,,,,,,,,,,,,,,,,
1.65,1.71,,,,,1.83,1.82,,,,,,,,,,,,,,,,
1.69,1.74,,,,,,1.83,1.83,,,,,,,,,,,,,,,
1.74,1.78,,,,,,,1.85,1.85,1.85,,,,,,,,,,,,,
1.78,1.83,,,,,,,,1.84,1.85,1.87,,,,,,,,,,,,
1.83,1.86,,,,,,,,,,1.88,1.91,1.94,1.98,,,,,,,,,
,1.9,,,,,,,,,,,,1.95,1.98,2.02,2.06,,,,,,,
,1.92,,,,,,,,,,,,,1.99,2.03,2.06,2.1,2.13,2.16,2.16,2.14,2.12,
,1.93,1.96,1.97,1.98,1.99,2.01,2.01,1.98,,,,,,,,,,,2.15,2.15,2.14,2.12,2.12
,,,,,,,,2.04,2.03,2.01,1.99,,,,,,,,,,,2.13,2.12
,,,,,,,,,,2.03,2.01,1.99,,,,,,,,,2.12,2.12,
,,,,,,,,,,,,1.97,,,,,,,,,2.1,2.11,
,,,,,,,,,,,,1.97,1.98,,,,,,,,2.08,,
,,,,,,,,,,2.02,2.0,1.98,1.99,,,,,,,,2.06,2.06,
,,,,,,,,,2.07,2.06,,2.01,1.99,1.98,,,,,,,,2.03,
,,,,,,,,,2.1,2.09,2.06,2.03,2.0,1.98,,,,,,,,2.0,2.0
,,,,,,,,,,,2.07,2.04,,1.98,,,,,,,,1.97,1.98
,,,,,,,,,,,,,1.98,1.96,,,,,,,,1.95,1.96
,,,,,,,,,,,,1.99,1.96,,,,,,,,,1.93,1.95
,,,,,,,,,,,,1.96,1.93,,,,,,,,1.9,1.92,
,,,,,,,,,,,,,1.91,1.89,,,,1.87,1.87,1.88,1.9,,
,,,,,,,,,,,,,1.89,1.86,,,,,1.87,,,,
,,,,,,,,,,,,,,1.84,,,,,1.88,,,,
,,,,,,,,,,,,,,1.82,,,,,1.9,1.92,,,
,,,,,,,,,,,,,,1.83,,,,,1.91,1.94,,,
,,,,,,,,,,,,,,1.85,1.84,,,,,1.95,,,
,,,,,,,,,,,,,,,1.88,1.88,,,1.93,1.96,,,
,,,,,,,,,,,,,,,,1.91,1.92,1.93,1.96,,,,
,,,,,,,,,,,,,,,,,1.96,1.97,,,,,
