0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.62,0.63,0.63,0.64,0.65,,,,,,,,,,,,,,,,,
,0.61,0.61,,,0.62,0.64,0.64,,,,,,,,,,,,,,,,
0.6,0.61,,,,,0.63,0.64,,,,,,,,,,,,,,,,
0.61,0.61,,,,,,0.65,0.66,,,,,,,,,,,,,,,
0.63,0.63,,,,,,,0.69,0.7,0.7,,,,,,,,,,,,,
0.65,0.65,,,,,,,,0.72,0.72,0.7,,,,,,,,,,,,
0.67,0.68,,,,,,,,,,0.72,0.69,0.65,0.61,,,,,,,,,
,0.69,,,,,,,,,,,,0.66,0.62,0.59,0.56,,,,,,,
,0.68,,,,,,,,,,,,,0.62,0.59,0.56,0.54,0.53,0.53,0.52,0.53,0.54,
,0.67,0.69,0.69,0.7,0.71,0.73,0.75,0.76,,,,,,,,,,,0.52,0.52,0.53,0.54,0.54
,,,,,,,,0.77,0.77,0.75,0.71,,,,,,,,,,,0.52,0.52
,,,,,,,,,,0.73,0.69,0.65,,,,,,,,,0.49,0.5,
,,,,,,,,,,,,0.63,,,,,,,,,0.47,0.48,
,,,,,,,,,,,,0.62,0.59,,,,,,,,0.46,,
,,,,,,,,,,0.68,0.66,0.62,0.59,,,,,,,,0.45,0.45,
,,,,,,,,,0.7,0.68,,0.62,0.59,0.56,,,,,,,,0.43,
,,,,,,,,,0.7,0.68,0.65,0.61,0.59,0.56,,,,,,,,0.42,0.43
,,,,,,,,,,,0.64,0.61,,0.55,,,,,,,,0.41,0.42
,,,,,,,,,,,,,0.56,0.54,,,,,,,,0.41,0.42
,,,,,,,,,,,,0.57,0.55,,,,,,,,,0.41,0.42
,,,,,,,,,,,,0.55,0.53,,,,,,,,0.41,0.41,
,,,,,,,,,,,,,0.5,0.49,,,,0.44,0.42,0.41,0.41,,
,,,,,,,,,,,,,0.48,0.47,,,,,0.42,,,,
,,,,,,,,,,,,,,0.45,,,,,0.42,,,,
,,,,,,,,,,,,,,0.44,,,,,0.42,0.41,,,
,,,,,,,,,,,,,,0.45,,,,,0.43,0.42,,,
,,,,,,,,,,,,,,0.45,0.46,,,,,0.45,,,
,,,,,,,,,,,,,,,0.47,0.48,,,0.48,0.48,,,
,,,,,,,,,,,,,,,,0.49,0.49,0.5,0.51,,,,
,,,,,,,,,,,,,,,,,0.5,0.51,,,,,
