0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.19,0.22,0.24,0.26,0.28,,,,,,,,,,,,,,,,,
,0.16,0.19,,,0.27,0.29,0.31,,,,,,,,,,,,,,,,
0.13,0.16,,,,,0.3,0.32,,,,,,,,,,,,,,,,
0.16,0.18,,,,,,0.33,0.34,,,,,,,,,,,,,,,
0.18,0.21,,,,,,,0.36,0.37,0.37,,,,,,,,,,,,,
0.21,0.24,,,,,,,,0.38,0.38,0.38,,,,,,,,,,,,
0.24,0.27,,,,,,,,,,0.38,0.38,0.38,0.38,,,,,,,,,
,0.3,,,,,,,,,,,,0.37,0.37,0.37,0.37,,,,,,,
,0.32,,,,,,,,,,,,,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,
,0.34,0.36,0.38,0.38,0.4,0.42,0.43,0.43,,,,,,,,,,,0.38,0.38,0.38,0.37,0.37
,,,,,,,,0.45,0.44,0.42,0.41,,,,,,,,,,,0.37,0.37
,,,,,,,,,,0.42,0.4,0.39,,,,,,,,,0.37,0.37,
,,,,,,,,,,,,0.37,,,,,,,,,0.36,0.36,
,,,,,,,,,,,,0.35,0.36,,,,,,,,0.35,,
,,,,,,,,,,0.38,0.36,0.35,0.35,,,,,,,,0.34,0.34,
,,,,,,,,,0.42,0.4,,0.36,0.35,0.34,,,,,,,,0.32,
,,,,,,,,,0.44,0.42,0.39,0.37,0.35,0.33,,,,,,,,0.3,0.3
,,,,,,,,,,,0.4,0.37,,0.32,,,,,,,,0.28,0.28
,,,,,,,,,,,,,0.32,0.31,,,,,,,,0.26,0.26
,,,,,,,,,,,,0.33,0.3,,,,,,,,,0.23,0.23
,,,,,,,,,,,,0.3,0.28,,,,,,,,0.22,0.21,
,,,,,,,,,,,,,0.26,0.25,,,,0.22,0.21,0.21,0.2,,
,,,,,,,,,,,,,0.24,0.23,,,,,0.21,,,,
,,,,,,,,,,,,,,0.21,,,,,0.2,,,,
,,,,,,,,,,,,,,0.19,,,,,0.2,0.21,,,
,,,,,,,,,,,,,,0.19,,,,,0.2,0.21,,,
,,,,,,,,,,,,,,0.19,0.18,,,,,0.22,,,
,,,,,,,,,,,,,,,0.19,0.18,,,0.2,0.22,,,
,,,,,,,,,,,,,,,,0.18,0.18,0.18,0.2,,,,
,,,,,,,,,,,,,,,,,0.18,0.18,,,,,
