0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.53,0.54,0.53,0.52,0.5,,,,,,,,,,,,,,,,,
,0.49,0.51,,,0.51,0.5,0.5,,,,,,,,,,,,,,,,
0.46,0.47,,,,,0.49,0.48,,,,,,,,,,,,,,,,
0.46,0.46,,,,,,0.45,0.44,,,,,,,,,,,,,,,
0.46,0.46,,,,,,,0.41,0.41,0.41,,,,,,,,,,,,,
0.47,0.46,,,,,,,,0.38,0.38,0.37,,,,,,,,,,,,
0.46,0.45,,,,,,,,,,0.34,0.33,0.34,0.36,,,,,,,,,
,0.43,,,,,,,,,,,,0.3,0.33,0.37,0.42,,,,,,,
,0.39,,,,,,,,,,,,,0.31,0.35,0.4,0.46,0.52,0.59,0.64,0.69,0.73,
,0.36,0.34,0.32,0.3,0.28,0.26,0.27,0.27,,,,,,,,,,,0.57,0.62,0.66,0.7,0.71
,,,,,,,,0.24,0.24,0.24,0.24,,,,,,,,,,,0.67,0.68
,,,,,,,,,,0.22,0.23,0.24,,,,,,,,,0.61,0.64,
,,,,,,,,,,,,0.22,,,,,,,,,0.59,0.62,
,,,,,,,,,,,,0.21,0.23,,,,,,,,0.58,,
,,,,,,,,,,0.19,0.19,0.2,0.22,,,,,,,,0.56,0.6,
,,,,,,,,,0.19,0.18,,0.2,0.21,0.23,,,,,,,,0.59,
,,,,,,,,,0.19,0.19,0.19,0.2,0.21,0.22,,,,,,,,0.57,0.59
,,,,,,,,,,,0.19,0.2,,0.23,,,,,,,,0.54,0.57
,,,,,,,,,,,,,0.22,0.24,,,,,,,,0.52,0.55
,,,,,,,,,,,,0.22,0.23,,,,,,,,,0.51,0.54
,,,,,,,,,,,,0.24,0.26,,,,,,,,0.45,0.5,
,,,,,,,,,,,,,0.28,0.3,,,,0.35,0.37,0.41,0.45,,
,,,,,,,,,,,,,0.3,0.32,,,,,0.38,,,,
,,,,,,,,,,,,,,0.34,,,,,0.39,,,,
,,,,,,,,,,,,,,0.37,,,,,0.41,0.44,,,
,,,,,,,,,,,,,,0.39,,,,,0.43,0.46,,,
,,,,,,,,,,,,,,0.41,0.43,,,,,0.48,,,
,,,,,,,,,,,,,,,0.44,0.46,,,0.48,0.49,,,
,,,,,,,,,,,,,,,,0.48,0.49,0.5,0.5,,,,
,,,,,,,,,,,,,,,,,0.51,0.52,,,,,
