0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.22,0.25,0.27,0.29,0.31,,,,,,,,,,,,,,,,,
,0.22,0.23,,,0.28,0.3,0.32,,,,,,,,,,,,,,,,
0.23,0.24,,,,,0.3,0.32,,,,,,,,,,,,,,,,
0.26,0.27,,,,,,0.32,0.34,,,,,,,,,,,,,,,
0.28,0.29,,,,,,,0.33,0.34,0.34,,,,,,,,,,,,,
0.29,0.29,,,,,,,,0.32,0.32,0.31,,,,,,,,,,,,
0.28,0.28,,,,,,,,,,0.29,0.27,0.27,0.27,,,,,,,,,
,0.26,,,,,,,,,,,,0.25,0.26,0.27,0.29,,,,,,,
,0.23,,,,,,,,,,,,,0.25,0.27,0.3,0.33,0.36,0.39,0.4,0.4,0.39,
,0.19,0.2,0.21,0.22,0.24,0.25,0.26,0.27,,,,,,,,,,,0.38,0.39,0.39,0.38,0.37
,,,,,,,,0.24,0.24,0.23,0.22,,,,,,,,,,,0.38,0.36
,,,,,,,,,,0.21,0.22,0.22,,,,,,,,,0.38,0.38,
,,,,,,,,,,,,0.22,,,,,,,,,0.38,0.39,
,,,,,,,,,,,,0.21,0.22,,,,,,,,0.39,,
,,,,,,,,,,0.18,0.2,0.2,0.21,,,,,,,,0.39,0.41,
,,,,,,,,,0.16,0.17,,0.19,0.2,0.21,,,,,,,,0.41,
,,,,,,,,,0.15,0.16,0.17,0.18,0.19,0.2,,,,,,,,0.41,0.43
,,,,,,,,,,,0.16,0.17,,0.19,,,,,,,,0.4,0.43
,,,,,,,,,,,,,0.17,0.17,,,,,,,,0.39,0.43
,,,,,,,,,,,,0.14,0.15,,,,,,,,,0.38,0.42
,,,,,,,,,,,,0.13,0.14,,,,,,,,0.33,0.36,
,,,,,,,,,,,,,0.12,0.13,,,,0.21,0.24,0.28,0.31,,
,,,,,,,,,,,,,0.12,0.12,,,,,0.24,,,,
,,,,,,,,,,,,,,0.12,,,,,0.24,,,,
,,,,,,,,,,,,,,0.13,,,,,0.24,0.26,,,
,,,,,,,,,,,,,,0.15,,,,,0.23,0.26,,,
,,,,,,,,,,,,,,0.17,0.17,,,,,0.26,,,
,,,,,,,,,,,,,,,0.21,0.22,,,0.24,0.26,,,
,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.24,,,,
,,,,,,,,,,,,,,,,,0.25,0.24,,,,,
