0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.3,0.32,0.35,0.38,0.41,,,,,,,,,,,,,,,,,
,0.35,0.36,,,0.42,0.45,0.46,,,,,,,,,,,,,,,,
0.39,0.4,,,,,0.47,0.48,,,,,,,,,,,,,,,,
0.43,0.44,,,,,,0.49,0.5,,,,,,,,,,,,,,,
0.46,0.47,,,,,,,0.49,0.48,0.46,,,,,,,,,,,,,
0.46,0.48,,,,,,,,0.46,0.44,0.41,,,,,,,,,,,,
0.45,0.47,,,,,,,,,,0.4,0.37,0.34,0.32,,,,,,,,,
,0.45,,,,,,,,,,,,0.34,0.32,0.31,0.29,,,,,,,
,0.42,,,,,,,,,,,,,0.32,0.31,0.3,0.29,0.29,0.29,0.3,0.31,0.32,
,0.39,0.4,0.42,0.43,0.43,0.43,0.43,0.42,,,,,,,,,,,0.29,0.29,0.3,0.32,0.33
,,,,,,,,0.4,0.4,0.39,0.37,,,,,,,,,,,0.29,0.31
,,,,,,,,,,0.37,0.35,0.33,,,,,,,,,0.26,0.27,
,,,,,,,,,,,,0.31,,,,,,,,,0.24,0.24,
,,,,,,,,,,,,0.29,0.27,,,,,,,,0.21,,
,,,,,,,,,,0.29,0.28,0.27,0.25,,,,,,,,0.18,0.2,
,,,,,,,,,0.26,0.26,,0.24,0.22,0.2,,,,,,,,0.19,
,,,,,,,,,0.23,0.23,0.22,0.21,0.19,0.18,,,,,,,,0.17,0.19
,,,,,,,,,,,0.2,0.19,,0.16,,,,,,,,0.15,0.16
,,,,,,,,,,,,,0.16,0.15,,,,,,,,0.13,0.14
,,,,,,,,,,,,0.16,0.15,,,,,,,,,0.12,0.13
,,,,,,,,,,,,0.14,0.13,,,,,,,,0.11,0.12,
,,,,,,,,,,,,,0.12,0.11,,,,0.08,0.08,0.09,0.1,,
,,,,,,,,,,,,,0.11,0.1,,,,,0.08,,,,
,,,,,,,,,,,,,,0.09,,,,,0.08,,,,
,,,,,,,,,,,,,,0.09,,,,,0.07,0.08,,,
,,,,,,,,,,,,,,0.09,,,,,0.07,0.08,,,
,,,,,,,,,,,,,,0.1,0.09,,,,,0.08,,,
,,,,,,,,,,,,,,,0.11,0.1,,,0.08,0.08,,,
,,,,,,,,,,,,,,,,0.12,0.11,0.1,0.09,,,,
,,,,,,,,,,,,,,,,,0.12,0.11,,,,,
