0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.13,0.13,0.13,0.13,0.13,,,,,,,,,,,,,,,,,
,0.13,0.14,,,0.15,0.14,0.14,,,,,,,,,,,,,,,,
0.13,0.14,,,,,0.16,0.15,,,,,,,,,,,,,,,,
0.15,0.15,,,,,,0.16,0.15,,,,,,,,,,,,,,,
0.16,0.17,,,,,,,0.15,0.14,0.12,,,,,,,,,,,,,
0.16,0.17,,,,,,,,0.14,0.13,0.11,,,,,,,,,,,,
0.16,0.17,,,,,,,,,,0.12,0.1,0.09,0.07,,,,,,,,,
,0.16,,,,,,,,,,,,0.09,0.08,0.07,0.06,,,,,,,
,0.15,,,,,,,,,,,,,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.05,0.05,
,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,,,,,,,,,,,0.07,0.06,0.06,0.06,0.06
,,,,,,,,0.13,0.13,0.13,0.13,,,,,,,,,,,0.07,0.07
,,,,,,,,,,0.13,0.13,0.12,,,,,,,,,0.07,0.07,
,,,,,,,,,,,,0.12,,,,,,,,,0.07,0.07,
,,,,,,,,,,,,0.12,0.11,,,,,,,,0.07,,
,,,,,,,,,,0.13,0.12,0.12,0.11,,,,,,,,0.07,0.07,
,,,,,,,,,0.12,0.12,,0.12,0.11,0.1,,,,,,,,0.07,
,,,,,,,,,0.12,0.12,0.12,0.11,0.1,0.1,,,,,,,,0.07,0.07
,,,,,,,,,,,0.11,0.11,,0.09,,,,,,,,0.07,0.07
,,,,,,,,,,,,,0.09,0.09,,,,,,,,0.07,0.07
,,,,,,,,,,,,0.09,0.09,,,,,,,,,0.07,0.08
,,,,,,,,,,,,0.08,0.08,,,,,,,,0.07,0.08,
,,,,,,,,,,,,,0.07,0.07,,,,0.05,0.06,0.06,0.07,,
,,,,,,,,,,,,,0.06,0.06,,,,,0.06,,,,
,,,,,,,,,,,,,,0.06,,,,,0.05,,,,
,,,,,,,,,,,,,,0.05,,,,,0.05,0.06,,,
,,,,,,,,,,,,,,0.06,,,,,0.05,0.05,,,
,,,,,,,,,,,,,,0.07,0.06,,,,,0.05,,,
,,,,,,,,,,,,,,,0.07,0.06,,,0.05,0.05,,,
,,,,,,,,,,,,,,,,0.07,0.06,0.06,0.06,,,,
,,,,,,,,,,,,,,,,,0.07,0.07,,,,,
