0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.37,0.4,0.42,0.43,0.45,,,,,,,,,,,,,,,,,
,0.33,0.37,,,0.44,0.45,0.46,,,,,,,,,,,,,,,,
0.3,0.34,,,,,0.46,0.48,,,,,,,,,,,,,,,,
0.33,0.36,,,,,,0.5,0.51,,,,,,,,,,,,,,,
0.37,0.4,,,,,,,0.54,0.54,0.55,,,,,,,,,,,,,
0.41,0.44,,,,,,,,0.55,0.56,0.56,,,,,,,,,,,,
0.45,0.48,,,,,,,,,,0.56,0.56,0.57,0.58,,,,,,,,,
,0.51,,,,,,,,,,,,0.57,0.58,0.58,0.59,,,,,,,
,0.53,,,,,,,,,,,,,0.58,0.59,0.6,0.61,0.62,0.62,0.62,0.61,0.6,
,0.55,0.57,0.59,0.6,0.61,0.63,0.64,0.63,,,,,,,,,,,0.62,0.62,0.61,0.6,0.6
,,,,,,,,0.66,0.64,0.62,0.6,,,,,,,,,,,0.61,0.61
,,,,,,,,,,0.62,0.6,0.59,,,,,,,,,0.6,0.6,
,,,,,,,,,,,,0.57,,,,,,,,,0.59,0.6,
,,,,,,,,,,,,0.56,0.56,,,,,,,,0.58,,
,,,,,,,,,,0.58,0.56,0.55,0.55,,,,,,,,0.57,0.57,
,,,,,,,,,0.61,0.59,,0.56,0.55,0.54,,,,,,,,0.55,
,,,,,,,,,0.62,0.6,0.58,0.56,0.54,0.52,,,,,,,,0.52,0.52
,,,,,,,,,,,0.58,0.55,,0.51,,,,,,,,0.49,0.5
,,,,,,,,,,,,,0.5,0.49,,,,,,,,0.47,0.47
,,,,,,,,,,,,0.51,0.48,,,,,,,,,0.44,0.45
,,,,,,,,,,,,0.48,0.46,,,,,,,,0.42,0.42,
,,,,,,,,,,,,,0.44,0.42,,,,0.39,0.4,0.4,0.4,,
,,,,,,,,,,,,,0.42,0.4,,,,,0.39,,,,
,,,,,,,,,,,,,,0.38,,,,,0.39,,,,
,,,,,,,,,,,,,,0.37,,,,,0.39,0.41,,,
,,,,,,,,,,,,,,0.37,,,,,0.39,0.41,,,
,,,,,,,,,,,,,,0.39,0.37,,,,,0.41,,,
,,,,,,,,,,,,,,,0.39,0.38,,,0.39,0.4,,,
,,,,,,,,,,,,,,,,0.41,0.4,0.39,0.39,,,,
,,,,,,,,,,,,,,,,,0.41,0.4,,,,,
