0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,2.95,2.99,3.04,3.09,3.13,,,,,,,,,,,,,,,,,
,2.95,2.99,,,3.13,3.17,3.21,,,,,,,,,,,,,,,,
2.96,2.99,,,,,3.22,3.26,,,,,,,,,,,,,,,,
3.0,3.03,,,,,,3.29,3.34,,,,,,,,,,,,,,,
3.04,3.07,,,,,,,3.36,3.38,3.39,,,,,,,,,,,,,
3.07,3.11,,,,,,,,3.38,3.38,3.38,,,,,,,,,,,,
3.11,3.14,,,,,,,,,,3.38,3.36,3.36,3.37,,,,,,,,,
,3.17,,,,,,,,,,,,3.36,3.37,3.38,3.39,,,,,,,
,3.19,,,,,,,,,,,,,3.37,3.38,3.4,3.42,3.45,3.49,3.49,3.5,3.5,
,3.2,3.25,3.31,3.37,3.44,3.47,3.48,3.45,,,,,,,,,,,3.46,3.47,3.49,3.49,3.49
,,,,,,,,3.44,3.43,3.41,3.38,,,,,,,,,,,3.47,3.47
,,,,,,,,,,3.4,3.38,3.36,,,,,,,,,3.43,3.44,
,,,,,,,,,,,,3.33,,,,,,,,,3.4,3.41,
,,,,,,,,,,,,3.29,3.29,,,,,,,,3.37,,
,,,,,,,,,,3.22,3.25,3.26,3.26,,,,,,,,3.32,3.34,
,,,,,,,,,3.14,3.17,,3.22,3.23,3.22,,,,,,,,3.28,
,,,,,,,,,3.11,3.13,3.17,3.18,3.2,3.19,,,,,,,,3.18,3.18
,,,,,,,,,,,3.12,3.15,,3.16,,,,,,,,3.08,3.07
,,,,,,,,,,,,,3.13,3.13,,,,,,,,3.0,2.99
,,,,,,,,,,,,3.08,3.09,,,,,,,,,2.93,2.92
,,,,,,,,,,,,3.05,3.06,,,,,,,,2.88,2.86,
,,,,,,,,,,,,,3.03,3.04,,,,2.96,2.91,2.87,2.84,,
,,,,,,,,,,,,,3.01,3.01,,,,,2.9,,,,
,,,,,,,,,,,,,,2.98,,,,,2.92,,,,
,,,,,,,,,,,,,,2.94,,,,,2.95,2.94,,,
,,,,,,,,,,,,,,2.89,,,,,2.96,2.97,,,
,,,,,,,,,,,,,,2.86,2.87,,,,,3.0,,,
,,,,,,,,,,,,,,,2.86,2.88,,,2.98,3.0,,,
,,,,,,,,,,,,,,,,2.91,2.95,2.98,3.01,,,,
,,,,,,,,,,,,,,,,,2.99,3.02,,,,,
