0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,1.7,1.73,1.73,1.71,1.67,,,,,,,,,,,,,,,,,
,1.64,1.69,,,1.68,1.65,1.62,,,,,,,,,,,,,,,,
1.6,1.64,,,,,1.63,1.61,,,,,,,,,,,,,,,,
1.61,1.65,,,,,,1.61,1.6,,,,,,,,,,,,,,,
1.63,1.66,,,,,,,1.6,1.59,1.59,,,,,,,,,,,,,
1.65,1.67,,,,,,,,1.58,1.58,1.6,,,,,,,,,,,,
1.66,1.68,,,,,,,,,,1.6,1.64,1.68,1.73,,,,,,,,,
,1.68,,,,,,,,,,,,1.69,1.73,1.78,1.83,,,,,,,
,1.68,,,,,,,,,,,,,1.74,1.79,1.83,1.88,1.93,1.96,1.97,1.96,1.94,
,1.67,1.68,1.69,1.69,1.69,1.68,1.67,1.65,,,,,,,,,,,1.95,1.96,1.95,1.94,1.93
,,,,,,,,1.68,1.68,1.68,1.68,,,,,,,,,,,1.93,1.91
,,,,,,,,,,1.7,1.69,1.69,,,,,,,,,1.91,1.91,
,,,,,,,,,,,,1.69,,,,,,,,,1.88,1.88,
,,,,,,,,,,,,1.7,1.71,,,,,,,,1.86,,
,,,,,,,,,,1.73,1.72,1.71,1.72,,,,,,,,1.83,1.82,
,,,,,,,,,1.74,1.75,,1.73,1.73,1.73,,,,,,,,1.8,
,,,,,,,,,1.76,1.76,1.76,1.75,1.74,1.74,,,,,,,,1.77,1.78
,,,,,,,,,,,1.76,1.76,,1.74,,,,,,,,1.76,1.77
,,,,,,,,,,,,,1.75,1.74,,,,,,,,1.76,1.78
,,,,,,,,,,,,1.75,1.74,,,,,,,,,1.77,1.78
,,,,,,,,,,,,1.74,1.73,,,,,,,,1.76,1.77,
,,,,,,,,,,,,,1.72,1.72,,,,1.72,1.72,1.74,1.76,,
,,,,,,,,,,,,,1.71,1.7,,,,,1.73,,,,
,,,,,,,,,,,,,,1.69,,,,,1.74,,,,
,,,,,,,,,,,,,,1.69,,,,,1.75,1.77,,,
,,,,,,,,,,,,,,1.69,,,,,1.76,1.77,,,
,,,,,,,,,,,,,,1.7,1.71,,,,,1.77,,,
,,,,,,,,,,,,,,,1.73,1.74,,,1.77,1.79,,,
,,,,,,,,,,,,,,,,1.77,1.78,1.79,1.8,,,,
,,,,,,,,,,,,,,,,,1.82,1.83,,,,,
