0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.69,0.71,0.74,0.77,0.81,,,,,,,,,,,,,,,,,
,0.7,0.72,,,0.8,0.83,0.86,,,,,,,,,,,,,,,,
0.74,0.75,,,,,0.85,0.88,,,,,,,,,,,,,,,,
0.78,0.78,,,,,,0.88,0.9,,,,,,,,,,,,,,,
0.8,0.8,,,,,,,0.9,0.92,0.93,,,,,,,,,,,,,
0.79,0.78,,,,,,,,0.91,0.92,0.94,,,,,,,,,,,,
0.76,0.76,,,,,,,,,,0.94,0.96,0.97,0.99,,,,,,,,,
,0.75,,,,,,,,,,,,0.97,0.98,0.99,0.99,,,,,,,
,0.76,,,,,,,,,,,,,0.98,0.98,0.99,1.0,1.0,1.02,1.02,1.03,1.04,
,0.78,0.79,0.81,0.85,0.89,0.93,0.95,0.96,,,,,,,,,,,1.02,1.02,1.03,1.04,1.03
,,,,,,,,0.98,0.98,0.98,0.97,,,,,,,,,,,1.03,1.02
,,,,,,,,,,0.99,0.98,0.98,,,,,,,,,1.01,1.01,
,,,,,,,,,,,,0.97,,,,,,,,,1.0,1.0,
,,,,,,,,,,,,0.96,0.97,,,,,,,,0.99,,
,,,,,,,,,,0.94,0.95,0.95,0.96,,,,,,,,0.97,0.97,
,,,,,,,,,0.91,0.93,,0.94,0.94,0.94,,,,,,,,0.95,
,,,,,,,,,0.88,0.9,0.92,0.92,0.93,0.93,,,,,,,,0.92,0.93
,,,,,,,,,,,0.89,0.91,,0.92,,,,,,,,0.9,0.9
,,,,,,,,,,,,,0.89,0.9,,,,,,,,0.88,0.89
,,,,,,,,,,,,0.86,0.87,,,,,,,,,0.86,0.86
,,,,,,,,,,,,0.84,0.86,,,,,,,,0.83,0.83,
,,,,,,,,,,,,,0.84,0.86,,,,0.85,0.83,0.82,0.81,,
,,,,,,,,,,,,,0.83,0.84,,,,,0.82,,,,
,,,,,,,,,,,,,,0.84,,,,,0.82,,,,
,,,,,,,,,,,,,,0.82,,,,,0.8,0.8,,,
,,,,,,,,,,,,,,0.79,,,,,0.78,0.78,,,
,,,,,,,,,,,,,,0.76,0.75,,,,,0.77,,,
,,,,,,,,,,,,,,,0.71,0.71,,,0.72,0.73,,,
,,,,,,,,,,,,,,,,0.67,0.68,0.68,0.68,,,,
,,,,,,,,,,,,,,,,,0.66,0.66,,,,,
