0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,1.56,1.58,1.58,1.56,1.53,,,,,,,,,,,,,,,,,
,1.51,1.54,,,1.53,1.5,1.47,,,,,,,,,,,,,,,,
1.47,1.51,,,,,1.47,1.45,,,,,,,,,,,,,,,,
1.48,1.5,,,,,,1.44,1.43,,,,,,,,,,,,,,,
1.49,1.51,,,,,,,1.42,1.42,1.42,,,,,,,,,,,,,
1.5,1.51,,,,,,,,1.4,1.41,1.42,,,,,,,,,,,,
1.51,1.52,,,,,,,,,,1.43,1.47,1.5,1.55,,,,,,,,,
,1.52,,,,,,,,,,,,1.51,1.55,1.6,1.65,,,,,,,
,1.51,,,,,,,,,,,,,1.56,1.61,1.65,1.7,1.75,1.78,1.79,1.78,1.77,
,1.5,1.5,1.51,1.51,1.51,1.51,1.49,1.47,,,,,,,,,,,1.77,1.78,1.78,1.76,1.75
,,,,,,,,1.51,1.51,1.51,1.51,,,,,,,,,,,1.76,1.74
,,,,,,,,,,1.54,1.53,1.52,,,,,,,,,1.74,1.73,
,,,,,,,,,,,,1.53,,,,,,,,,1.71,1.71,
,,,,,,,,,,,,1.54,1.54,,,,,,,,1.68,,
,,,,,,,,,,1.57,1.57,1.56,1.56,,,,,,,,1.66,1.66,
,,,,,,,,,1.59,1.59,,1.58,1.57,1.57,,,,,,,,1.63,
,,,,,,,,,1.6,1.61,1.61,1.59,1.58,1.58,,,,,,,,1.61,1.61
,,,,,,,,,,,1.61,1.6,,1.58,,,,,,,,1.6,1.61
,,,,,,,,,,,,,1.59,1.58,,,,,,,,1.6,1.61
,,,,,,,,,,,,1.59,1.58,,,,,,,,,1.6,1.62
,,,,,,,,,,,,1.58,1.57,,,,,,,,1.59,1.61,
,,,,,,,,,,,,,1.56,1.56,,,,1.55,1.56,1.58,1.6,,
,,,,,,,,,,,,,1.55,1.54,,,,,1.57,,,,
,,,,,,,,,,,,,,1.54,,,,,1.58,,,,
,,,,,,,,,,,,,,1.54,,,,,1.6,1.62,,,
,,,,,,,,,,,,,,1.54,,,,,1.61,1.63,,,
,,,,,,,,,,,,,,1.55,1.56,,,,,1.64,,,
,,,,,,,,,,,,,,,1.58,1.6,,,1.65,1.67,,,
,,,,,,,,,,,,,,,,1.63,1.65,1.67,1.69,,,,
,,,,,,,,,,,,,,,,,1.69,1.71,,,,,
