0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.88,0.91,0.95,0.99,1.04,,,,,,,,,,,,,,,,,
,0.89,0.92,,,1.02,1.07,1.11,,,,,,,,,,,,,,,,
0.93,0.95,,,,,1.09,1.13,,,,,,,,,,,,,,,,
0.98,0.98,,,,,,1.14,1.17,,,,,,,,,,,,,,,
1.0,1.0,,,,,,,1.17,1.2,1.22,,,,,,,,,,,,,
0.99,1.0,,,,,,,,1.2,1.22,1.23,,,,,,,,,,,,
0.97,0.97,,,,,,,,,,1.25,1.27,1.28,1.3,,,,,,,,,
,0.97,,,,,,,,,,,,1.29,1.3,1.31,1.31,,,,,,,
,0.98,,,,,,,,,,,,,1.3,1.31,1.32,1.33,1.33,1.35,1.36,1.37,1.37,
,1.0,1.02,1.06,1.11,1.16,1.21,1.25,1.27,,,,,,,,,,,1.35,1.36,1.37,1.37,1.37
,,,,,,,,1.29,1.3,1.3,1.3,,,,,,,,,,,1.37,1.37
,,,,,,,,,,1.32,1.32,1.32,,,,,,,,,1.36,1.36,
,,,,,,,,,,,,1.32,,,,,,,,,1.35,1.35,
,,,,,,,,,,,,1.31,1.31,,,,,,,,1.34,,
,,,,,,,,,,1.28,1.3,1.3,1.31,,,,,,,,1.32,1.32,
,,,,,,,,,1.24,1.27,,1.29,1.3,1.3,,,,,,,,1.3,
,,,,,,,,,1.21,1.25,1.27,1.28,1.29,1.29,,,,,,,,1.27,1.27
,,,,,,,,,,,1.24,1.26,,1.28,,,,,,,,1.24,1.25
,,,,,,,,,,,,,1.25,1.26,,,,,,,,1.22,1.23
,,,,,,,,,,,,1.22,1.24,,,,,,,,,1.19,1.2
,,,,,,,,,,,,1.2,1.22,,,,,,,,1.17,1.17,
,,,,,,,,,,,,,1.2,1.22,,,,1.2,1.18,1.17,1.15,,
,,,,,,,,,,,,,1.2,1.21,,,,,1.17,,,,
,,,,,,,,,,,,,,1.2,,,,,1.17,,,,
,,,,,,,,,,,,,,1.18,,,,,1.16,1.14,,,
,,,,,,,,,,,,,,1.16,,,,,1.14,1.14,,,
,,,,,,,,,,,,,,1.13,1.13,,,,,1.13,,,
,,,,,,,,,,,,,,,1.08,1.08,,,1.09,1.1,,,
,,,,,,,,,,,,,,,,1.05,1.05,1.06,1.06,,,,
,,,,,,,,,,,,,,,,,1.03,1.03,,,,,
