0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.26,0.26,0.27,0.29,0.3,,,,,,,,,,,,,,,,,
,0.25,0.25,,,0.29,0.31,0.32,,,,,,,,,,,,,,,,
0.23,0.24,,,,,0.32,0.33,,,,,,,,,,,,,,,,
0.22,0.23,,,,,,0.33,0.35,,,,,,,,,,,,,,,
0.22,0.24,,,,,,,0.36,0.37,0.36,,,,,,,,,,,,,
0.23,0.25,,,,,,,,0.37,0.36,0.34,,,,,,,,,,,,
0.25,0.27,,,,,,,,,,0.34,0.31,0.31,0.31,,,,,,,,,
,0.29,,,,,,,,,,,,0.31,0.32,0.32,0.33,,,,,,,
,0.3,,,,,,,,,,,,,0.32,0.33,0.34,0.35,0.37,0.38,0.38,0.38,0.38,
,0.31,0.34,0.38,0.42,0.45,0.47,0.46,0.45,,,,,,,,,,,0.37,0.37,0.37,0.37,0.37
,,,,,,,,0.45,0.43,0.4,0.37,,,,,,,,,,,0.37,0.37
,,,,,,,,,,0.39,0.37,0.35,,,,,,,,,0.36,0.36,
,,,,,,,,,,,,0.35,,,,,,,,,0.36,0.36,
,,,,,,,,,,,,0.33,0.33,,,,,,,,0.35,,
,,,,,,,,,,0.33,0.32,0.32,0.32,,,,,,,,0.35,0.36,
,,,,,,,,,0.31,0.3,,0.31,0.31,0.31,,,,,,,,0.35,
,,,,,,,,,0.29,0.28,0.29,0.3,0.3,0.31,,,,,,,,0.33,0.33
,,,,,,,,,,,0.28,0.29,,0.3,,,,,,,,0.3,0.29
,,,,,,,,,,,,,0.3,0.3,,,,,,,,0.27,0.27
,,,,,,,,,,,,0.29,0.3,,,,,,,,,0.26,0.26
,,,,,,,,,,,,0.3,0.31,,,,,,,,0.25,0.25,
,,,,,,,,,,,,,0.32,0.32,,,,0.28,0.26,0.25,0.25,,
,,,,,,,,,,,,,0.33,0.33,,,,,0.27,,,,
,,,,,,,,,,,,,,0.34,,,,,0.29,,,,
,,,,,,,,,,,,,,0.34,,,,,0.32,0.31,,,
,,,,,,,,,,,,,,0.33,,,,,0.34,0.34,,,
,,,,,,,,,,,,,,0.33,0.34,,,,,0.36,,,
,,,,,,,,,,,,,,,0.35,0.36,,,0.37,0.37,,,
,,,,,,,,,,,,,,,,0.38,0.39,0.4,0.4,,,,
,,,,,,,,,,,,,,,,,0.42,0.43,,,,,
