0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,1.46,1.5,1.51,1.52,1.53,,,,,,,,,,,,,,,,,
,1.42,1.46,,,1.53,1.53,1.53,,,,,,,,,,,,,,,,
1.38,1.43,,,,,1.54,1.55,,,,,,,,,,,,,,,,
1.42,1.46,,,,,,1.57,1.58,,,,,,,,,,,,,,,
1.46,1.5,,,,,,,1.6,1.61,1.61,,,,,,,,,,,,,
1.5,1.54,,,,,,,,1.61,1.61,1.62,,,,,,,,,,,,
1.53,1.57,,,,,,,,,,1.62,1.64,1.67,1.7,,,,,,,,,
,1.6,,,,,,,,,,,,1.67,1.7,1.73,1.77,,,,,,,
,1.62,,,,,,,,,,,,,1.71,1.74,1.78,1.81,1.84,1.87,1.87,1.87,1.86,
,1.64,1.66,1.68,1.69,1.7,1.71,1.71,1.68,,,,,,,,,,,1.87,1.88,1.88,1.88,1.88
,,,,,,,,1.73,1.71,1.69,1.69,,,,,,,,,,,1.89,1.89
,,,,,,,,,,1.71,1.7,1.69,,,,,,,,,1.87,1.88,
,,,,,,,,,,,,1.68,,,,,,,,,1.86,1.87,
,,,,,,,,,,,,1.67,1.69,,,,,,,,1.85,,
,,,,,,,,,,1.68,1.67,1.67,1.69,,,,,,,,1.83,1.84,
,,,,,,,,,1.71,1.7,,1.69,1.69,1.69,,,,,,,,1.81,
,,,,,,,,,1.73,1.72,1.71,1.7,1.69,1.69,,,,,,,,1.78,1.78
,,,,,,,,,,,1.71,1.7,,1.68,,,,,,,,1.74,1.75
,,,,,,,,,,,,,1.67,1.67,,,,,,,,1.71,1.72
,,,,,,,,,,,,1.66,1.65,,,,,,,,,1.69,1.7
,,,,,,,,,,,,1.64,1.63,,,,,,,,1.65,1.67,
,,,,,,,,,,,,,1.62,1.61,,,,1.62,1.62,1.63,1.64,,
,,,,,,,,,,,,,1.6,1.59,,,,,1.62,,,,
,,,,,,,,,,,,,,1.58,,,,,1.62,,,,
,,,,,,,,,,,,,,1.57,,,,,1.63,1.65,,,
,,,,,,,,,,,,,,1.57,,,,,1.64,1.65,,,
,,,,,,,,,,,,,,1.59,1.59,,,,,1.66,,,
,,,,,,,,,,,,,,,1.62,1.62,,,1.63,1.64,,,
,,,,,,,,,,,,,,,,1.64,1.63,1.63,1.63,,,,
,,,,,,,,,,,,,,,,,1.65,1.64,,,,,
