0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,3.04,3.08,3.13,3.19,3.24,,,,,,,,,,,,,,,,,
,3.04,3.08,,,3.23,3.28,3.33,,,,,,,,,,,,,,,,
3.05,3.09,,,,,3.33,3.38,,,,,,,,,,,,,,,,
3.1,3.13,,,,,,3.41,3.46,,,,,,,,,,,,,,,
3.14,3.18,,,,,,,3.49,3.51,3.52,,,,,,,,,,,,,
3.17,3.21,,,,,,,,3.51,3.52,3.53,,,,,,,,,,,,
3.2,3.24,,,,,,,,,,3.54,3.53,3.54,3.55,,,,,,,,,
,3.26,,,,,,,,,,,,3.53,3.55,3.56,3.58,,,,,,,
,3.29,,,,,,,,,,,,,3.54,3.57,3.58,3.61,3.64,3.68,3.69,3.7,3.69,
,3.32,3.37,3.43,3.51,3.58,3.63,3.64,3.62,,,,,,,,,,,3.66,3.67,3.69,3.69,3.68
,,,,,,,,3.61,3.6,3.57,3.54,,,,,,,,,,,3.68,3.67
,,,,,,,,,,3.56,3.54,3.53,,,,,,,,,3.64,3.65,
,,,,,,,,,,,,3.5,,,,,,,,,3.6,3.62,
,,,,,,,,,,,,3.46,3.46,,,,,,,,3.57,,
,,,,,,,,,,3.39,3.42,3.43,3.43,,,,,,,,3.52,3.54,
,,,,,,,,,3.31,3.34,,3.39,3.4,3.4,,,,,,,,3.48,
,,,,,,,,,3.27,3.3,3.33,3.35,3.37,3.36,,,,,,,,3.38,3.39
,,,,,,,,,,,3.28,3.32,,3.34,,,,,,,,3.29,3.28
,,,,,,,,,,,,,3.29,3.3,,,,,,,,3.2,3.2
,,,,,,,,,,,,3.24,3.25,,,,,,,,,3.12,3.13
,,,,,,,,,,,,3.2,3.21,,,,,,,,3.06,3.05,
,,,,,,,,,,,,,3.17,3.18,,,,3.12,3.07,3.04,3.01,,
,,,,,,,,,,,,,3.14,3.14,,,,,3.05,,,,
,,,,,,,,,,,,,,3.11,,,,,3.06,,,,
,,,,,,,,,,,,,,3.05,,,,,3.09,3.08,,,
,,,,,,,,,,,,,,2.99,,,,,3.08,3.1,,,
,,,,,,,,,,,,,,2.95,2.95,,,,,3.12,,,
,,,,,,,,,,,,,,,2.93,2.96,,,3.08,3.12,,,
,,,,,,,,,,,,,,,,2.97,3.02,3.06,3.1,,,,
,,,,,,,,,,,,,,,,,3.06,3.09,,,,,
