0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.13,0.14,0.16,0.18,0.2,,,,,,,,,,,,,,,,,
,0.12,0.14,,,0.19,0.22,0.23,,,,,,,,,,,,,,,,
0.13,0.14,,,,,0.23,0.24,,,,,,,,,,,,,,,,
0.15,0.16,,,,,,0.26,0.27,,,,,,,,,,,,,,,
0.17,0.18,,,,,,,0.29,0.31,0.3,,,,,,,,,,,,,
0.2,0.2,,,,,,,,0.32,0.31,0.29,,,,,,,,,,,,
0.22,0.22,,,,,,,,,,0.29,0.26,0.25,0.25,,,,,,,,,
,0.24,,,,,,,,,,,,0.24,0.24,0.26,0.27,,,,,,,
,0.26,,,,,,,,,,,,,0.24,0.25,0.27,0.3,0.33,0.37,0.41,0.44,0.47,
,0.28,0.29,0.3,0.31,0.33,0.34,0.34,0.33,,,,,,,,,,,0.35,0.38,0.42,0.44,0.44
,,,,,,,,0.32,0.3,0.28,0.25,,,,,,,,,,,0.4,0.41
,,,,,,,,,,0.27,0.24,0.23,,,,,,,,,0.35,0.37,
,,,,,,,,,,,,0.22,,,,,,,,,0.32,0.34,
,,,,,,,,,,,,0.21,0.19,,,,,,,,0.29,,
,,,,,,,,,,0.23,0.22,0.2,0.18,,,,,,,,0.26,0.28,
,,,,,,,,,0.24,0.22,,0.19,0.18,0.17,,,,,,,,0.27,
,,,,,,,,,0.23,0.21,0.2,0.18,0.17,0.16,,,,,,,,0.25,0.27
,,,,,,,,,,,0.19,0.18,,0.16,,,,,,,,0.23,0.25
,,,,,,,,,,,,,0.15,0.15,,,,,,,,0.23,0.24
,,,,,,,,,,,,0.15,0.15,,,,,,,,,0.23,0.24
,,,,,,,,,,,,0.14,0.14,,,,,,,,0.23,0.23,
,,,,,,,,,,,,,0.14,0.15,,,,0.21,0.23,0.24,0.24,,
,,,,,,,,,,,,,0.15,0.16,,,,,0.24,,,,
,,,,,,,,,,,,,,0.16,,,,,0.25,,,,
,,,,,,,,,,,,,,0.16,,,,,0.25,0.27,,,
,,,,,,,,,,,,,,0.15,,,,,0.25,0.26,,,
,,,,,,,,,,,,,,0.15,0.18,,,,,0.26,,,
,,,,,,,,,,,,,,,0.18,0.21,,,0.25,0.26,,,
,,,,,,,,,,,,,,,,0.21,0.23,0.25,0.26,,,,
,,,,,,,,,,,,,,,,,0.23,0.25,,,,,
