0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,3.06,3.11,3.17,3.23,3.29,,,,,,,,,,,,,,,,,
,3.07,3.11,,,3.27,3.33,3.38,,,,,,,,,,,,,,,,
3.09,3.14,,,,,3.38,3.43,,,,,,,,,,,,,,,,
3.16,3.19,,,,,,3.47,3.5,,,,,,,,,,,,,,,
3.21,3.24,,,,,,,3.53,3.54,3.54,,,,,,,,,,,,,
3.24,3.27,,,,,,,,3.54,3.54,3.53,,,,,,,,,,,,
3.26,3.29,,,,,,,,,,3.55,3.54,3.54,3.55,,,,,,,,,
,3.32,,,,,,,,,,,,3.55,3.56,3.57,3.58,,,,,,,
,3.35,,,,,,,,,,,,,3.56,3.58,3.59,3.62,3.64,3.67,3.68,3.69,3.68,
,3.38,3.43,3.49,3.56,3.64,3.68,3.69,3.66,,,,,,,,,,,3.66,3.67,3.69,3.69,3.68
,,,,,,,,3.65,3.63,3.6,3.57,,,,,,,,,,,3.68,3.67
,,,,,,,,,,3.59,3.57,3.55,,,,,,,,,3.65,3.66,
,,,,,,,,,,,,3.52,,,,,,,,,3.63,3.64,
,,,,,,,,,,,,3.48,3.49,,,,,,,,3.6,,
,,,,,,,,,,3.41,3.44,3.45,3.46,,,,,,,,3.56,3.57,
,,,,,,,,,3.34,3.37,,3.41,3.42,3.43,,,,,,,,3.52,
,,,,,,,,,3.29,3.32,3.35,3.37,3.39,3.39,,,,,,,,3.43,3.43
,,,,,,,,,,,3.3,3.33,,3.36,,,,,,,,3.34,3.33
,,,,,,,,,,,,,3.3,3.32,,,,,,,,3.25,3.25
,,,,,,,,,,,,3.24,3.26,,,,,,,,,3.18,3.18
,,,,,,,,,,,,3.2,3.22,,,,,,,,3.11,3.1,
,,,,,,,,,,,,,3.17,3.19,,,,3.15,3.1,3.07,3.05,,
,,,,,,,,,,,,,3.14,3.15,,,,,3.07,,,,
,,,,,,,,,,,,,,3.12,,,,,3.07,,,,
,,,,,,,,,,,,,,3.06,,,,,3.08,3.07,,,
,,,,,,,,,,,,,,3.0,,,,,3.05,3.07,,,
,,,,,,,,,,,,,,2.96,2.96,,,,,3.07,,,
,,,,,,,,,,,,,,,2.91,2.92,,,3.01,3.05,,,
,,,,,,,,,,,,,,,,2.91,2.94,2.97,3.01,,,,
,,,,,,,,,,,,,,,,,2.97,2.99,,,,,
