0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.54,0.57,0.59,0.61,0.64,,,,,,,,,,,,,,,,,
,0.55,0.57,,,0.63,0.64,0.66,,,,,,,,,,,,,,,,
0.56,0.58,,,,,0.66,0.66,,,,,,,,,,,,,,,,
0.58,0.6,,,,,,0.67,0.67,,,,,,,,,,,,,,,
0.58,0.6,,,,,,,0.67,0.67,0.66,,,,,,,,,,,,,
0.58,0.6,,,,,,,,0.66,0.66,0.65,,,,,,,,,,,,
0.57,0.6,,,,,,,,,,0.66,0.66,0.65,0.65,,,,,,,,,
,0.58,,,,,,,,,,,,0.65,0.65,0.64,0.64,,,,,,,
,0.56,,,,,,,,,,,,,0.64,0.64,0.63,0.63,0.64,0.65,0.65,0.65,0.64,
,0.52,0.55,0.57,0.6,0.62,0.62,0.63,0.64,,,,,,,,,,,0.61,0.61,0.6,0.59,0.58
,,,,,,,,0.62,0.64,0.66,0.66,,,,,,,,,,,0.54,0.52
,,,,,,,,,,0.65,0.65,0.64,,,,,,,,,0.5,0.49,
,,,,,,,,,,,,0.61,,,,,,,,,0.46,0.45,
,,,,,,,,,,,,0.58,0.57,,,,,,,,0.42,,
,,,,,,,,,,0.55,0.55,0.55,0.53,,,,,,,,0.38,0.35,
,,,,,,,,,0.5,0.51,,0.51,0.5,0.49,,,,,,,,0.31,
,,,,,,,,,0.46,0.47,0.48,0.48,0.47,0.46,,,,,,,,0.28,0.25
,,,,,,,,,,,0.44,0.45,,0.44,,,,,,,,0.26,0.24
,,,,,,,,,,,,,0.41,0.41,,,,,,,,0.24,0.22
,,,,,,,,,,,,0.38,0.38,,,,,,,,,0.24,0.21
,,,,,,,,,,,,0.36,0.35,,,,,,,,0.26,0.24,
,,,,,,,,,,,,,0.33,0.33,,,,0.32,0.31,0.29,0.28,,
,,,,,,,,,,,,,0.32,0.32,,,,,0.32,,,,
,,,,,,,,,,,,,,0.32,,,,,0.35,,,,
,,,,,,,,,,,,,,0.32,,,,,0.37,0.36,,,
,,,,,,,,,,,,,,0.33,,,,,0.4,0.39,,,
,,,,,,,,,,,,,,0.36,0.37,,,,,0.42,,,
,,,,,,,,,,,,,,,0.41,0.42,,,0.45,0.45,,,
,,,,,,,,,,,,,,,,0.45,0.47,0.48,0.49,,,,
,,,,,,,,,,,,,,,,,0.5,0.51,,,,,
