0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.66,0.68,0.69,0.7,0.71,,,,,,,,,,,,,,,,,
,0.64,0.66,,,0.69,0.7,0.71,,,,,,,,,,,,,,,,
0.63,0.64,,,,,0.7,0.71,,,,,,,,,,,,,,,,
0.65,0.65,,,,,,0.72,0.73,,,,,,,,,,,,,,,
0.67,0.68,,,,,,,0.76,0.76,0.77,,,,,,,,,,,,,
0.7,0.72,,,,,,,,0.79,0.79,0.78,,,,,,,,,,,,
0.74,0.76,,,,,,,,,,0.8,0.77,0.73,0.7,,,,,,,,,
,0.79,,,,,,,,,,,,0.74,0.7,0.68,0.66,,,,,,,
,0.8,,,,,,,,,,,,,0.7,0.68,0.66,0.65,0.64,0.64,0.63,0.62,0.62,
,0.8,0.83,0.85,0.86,0.87,0.87,0.89,0.9,,,,,,,,,,,0.63,0.62,0.62,0.62,0.62
,,,,,,,,0.92,0.91,0.88,0.83,,,,,,,,,,,0.61,0.61
,,,,,,,,,,0.87,0.81,0.76,,,,,,,,,0.6,0.6,
,,,,,,,,,,,,0.74,,,,,,,,,0.58,0.59,
,,,,,,,,,,,,0.73,0.69,,,,,,,,0.57,,
,,,,,,,,,,0.8,0.77,0.72,0.69,,,,,,,,0.55,0.56,
,,,,,,,,,0.83,0.8,,0.72,0.69,0.65,,,,,,,,0.53,
,,,,,,,,,0.83,0.8,0.76,0.72,0.68,0.64,,,,,,,,0.51,0.52
,,,,,,,,,,,0.74,0.71,,0.63,,,,,,,,0.49,0.51
,,,,,,,,,,,,,0.65,0.61,,,,,,,,0.47,0.49
,,,,,,,,,,,,0.65,0.62,,,,,,,,,0.45,0.47
,,,,,,,,,,,,0.61,0.59,,,,,,,,0.44,0.44,
,,,,,,,,,,,,,0.55,0.53,,,,0.46,0.45,0.44,0.43,,
,,,,,,,,,,,,,0.52,0.49,,,,,0.44,,,,
,,,,,,,,,,,,,,0.47,,,,,0.43,,,,
,,,,,,,,,,,,,,0.46,,,,,0.42,0.41,,,
,,,,,,,,,,,,,,0.46,,,,,0.43,0.42,,,
,,,,,,,,,,,,,,0.46,0.46,,,,,0.44,,,
,,,,,,,,,,,,,,,0.46,0.47,,,0.47,0.47,,,
,,,,,,,,,,,,,,,,0.47,0.48,0.48,0.49,,,,
,,,,,,,,,,,,,,,,,0.49,0.5,,,,,
