0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,1.11,1.13,1.13,1.12,1.09,,,,,,,,,,,,,,,,,
,1.07,1.1,,,1.1,1.07,1.04,,,,,,,,,,,,,,,,
1.04,1.07,,,,,1.05,1.03,,,,,,,,,,,,,,,,
1.04,1.06,,,,,,1.02,1.0,,,,,,,,,,,,,,,
1.05,1.06,,,,,,,0.99,0.98,0.97,,,,,,,,,,,,,
1.05,1.06,,,,,,,,0.96,0.95,0.96,,,,,,,,,,,,
1.06,1.07,,,,,,,,,,0.97,1.0,1.03,1.07,,,,,,,,,
,1.07,,,,,,,,,,,,1.04,1.07,1.1,1.14,,,,,,,
,1.07,,,,,,,,,,,,,1.07,1.1,1.14,1.17,1.2,1.23,1.24,1.24,1.23,
,1.07,1.07,1.07,1.07,1.06,1.04,1.03,1.01,,,,,,,,,,,1.22,1.23,1.23,1.22,1.21
,,,,,,,,1.04,1.04,1.04,1.04,,,,,,,,,,,1.22,1.2
,,,,,,,,,,1.06,1.05,1.04,,,,,,,,,1.2,1.2,
,,,,,,,,,,,,1.04,,,,,,,,,1.18,1.18,
,,,,,,,,,,,,1.06,1.06,,,,,,,,1.16,,
,,,,,,,,,,1.1,1.09,1.08,1.08,,,,,,,,1.15,1.14,
,,,,,,,,,1.14,1.13,,1.11,1.1,1.1,,,,,,,,1.13,
,,,,,,,,,1.16,1.16,1.15,1.13,1.12,1.11,,,,,,,,1.12,1.13
,,,,,,,,,,,1.17,1.15,,1.13,,,,,,,,1.13,1.14
,,,,,,,,,,,,,1.15,1.14,,,,,,,,1.15,1.15
,,,,,,,,,,,,1.17,1.16,,,,,,,,,1.16,1.17
,,,,,,,,,,,,1.17,1.16,,,,,,,,1.16,1.17,
,,,,,,,,,,,,,1.16,1.16,,,,1.15,1.16,1.16,1.17,,
,,,,,,,,,,,,,1.16,1.15,,,,,1.17,,,,
,,,,,,,,,,,,,,1.15,,,,,1.18,,,,
,,,,,,,,,,,,,,1.15,,,,,1.2,1.2,,,
,,,,,,,,,,,,,,1.16,,,,,1.2,1.21,,,
,,,,,,,,,,,,,,1.16,1.17,,,,,1.22,,,
,,,,,,,,,,,,,,,1.17,1.19,,,1.22,1.24,,,
,,,,,,,,,,,,,,,,1.19,1.21,1.23,1.25,,,,
,,,,,,,,,,,,,,,,,1.24,1.26,,,,,
