0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.31,0.36,0.4,0.44,0.46,,,,,,,,,,,,,,,,,
,0.31,0.33,,,0.42,0.45,0.47,,,,,,,,,,,,,,,,
0.32,0.34,,,,,0.44,0.47,,,,,,,,,,,,,,,,
0.36,0.36,,,,,,0.46,0.48,,,,,,,,,,,,,,,
0.38,0.39,,,,,,,0.46,0.47,0.46,,,,,,,,,,,,,
0.38,0.39,,,,,,,,0.45,0.44,0.43,,,,,,,,,,,,
0.38,0.38,,,,,,,,,,0.41,0.39,0.38,0.38,,,,,,,,,
,0.36,,,,,,,,,,,,0.38,0.38,0.39,0.41,,,,,,,
,0.32,,,,,,,,,,,,,0.38,0.4,0.42,0.46,0.49,0.52,0.53,0.54,0.53,
,0.28,0.29,0.3,0.32,0.34,0.36,0.37,0.38,,,,,,,,,,,0.51,0.53,0.53,0.53,0.51
,,,,,,,,0.35,0.36,0.36,0.36,,,,,,,,,,,0.52,0.51
,,,,,,,,,,0.34,0.35,0.37,,,,,,,,,0.52,0.52,
,,,,,,,,,,,,0.35,,,,,,,,,0.52,0.53,
,,,,,,,,,,,,0.34,0.35,,,,,,,,0.53,,
,,,,,,,,,,0.27,0.3,0.32,0.33,,,,,,,,0.52,0.55,
,,,,,,,,,0.22,0.24,,0.29,0.3,0.31,,,,,,,,0.54,
,,,,,,,,,0.2,0.22,0.24,0.26,0.28,0.29,,,,,,,,0.53,0.56
,,,,,,,,,,,0.22,0.23,,0.26,,,,,,,,0.51,0.55
,,,,,,,,,,,,,0.22,0.23,,,,,,,,0.49,0.53
,,,,,,,,,,,,0.18,0.19,,,,,,,,,0.46,0.51
,,,,,,,,,,,,0.16,0.17,,,,,,,,0.38,0.43,
,,,,,,,,,,,,,0.15,0.16,,,,0.23,0.26,0.31,0.36,,
,,,,,,,,,,,,,0.13,0.14,,,,,0.25,,,,
,,,,,,,,,,,,,,0.13,,,,,0.25,,,,
,,,,,,,,,,,,,,0.13,,,,,0.24,0.27,,,
,,,,,,,,,,,,,,0.15,,,,,0.24,0.27,,,
,,,,,,,,,,,,,,0.18,0.18,,,,,0.27,,,
,,,,,,,,,,,,,,,0.21,0.22,,,0.25,0.27,,,
,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.25,,,,
,,,,,,,,,,,,,,,,,0.26,0.25,,,,,
