0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,2.37,2.4,2.44,2.47,2.5,,,,,,,,,,,,,,,,,
,2.35,2.38,,,2.49,2.52,2.54,,,,,,,,,,,,,,,,
2.33,2.37,,,,,2.55,2.57,,,,,,,,,,,,,,,,
2.35,2.38,,,,,,2.6,2.62,,,,,,,,,,,,,,,
2.37,2.42,,,,,,,2.63,2.63,2.63,,,,,,,,,,,,,
2.41,2.46,,,,,,,,2.63,2.62,2.61,,,,,,,,,,,,
2.44,2.49,,,,,,,,,,2.6,2.58,2.57,2.57,,,,,,,,,
,2.52,,,,,,,,,,,,2.56,2.56,2.57,2.58,,,,,,,
,2.52,,,,,,,,,,,,,2.55,2.57,2.58,2.6,2.63,2.65,2.65,2.65,2.65,
,2.52,2.56,2.61,2.66,2.7,2.71,2.69,2.65,,,,,,,,,,,2.62,2.63,2.64,2.64,2.64
,,,,,,,,2.62,2.6,2.57,2.53,,,,,,,,,,,2.63,2.62
,,,,,,,,,,2.53,2.5,2.5,,,,,,,,,2.59,2.6,
,,,,,,,,,,,,2.46,,,,,,,,,2.56,2.57,
,,,,,,,,,,,,2.42,2.42,,,,,,,,2.53,,
,,,,,,,,,,2.36,2.38,2.39,2.39,,,,,,,,2.5,2.51,
,,,,,,,,,2.31,2.32,,2.35,2.36,2.37,,,,,,,,2.46,
,,,,,,,,,2.28,2.29,2.31,2.32,2.34,2.34,,,,,,,,2.38,2.38
,,,,,,,,,,,2.27,2.3,,2.31,,,,,,,,2.3,2.3
,,,,,,,,,,,,,2.28,2.29,,,,,,,,2.23,2.22
,,,,,,,,,,,,2.24,2.25,,,,,,,,,2.17,2.17
,,,,,,,,,,,,2.22,2.22,,,,,,,,2.13,2.12,
,,,,,,,,,,,,,2.2,2.2,,,,2.15,2.12,2.1,2.1,,
,,,,,,,,,,,,,2.18,2.18,,,,,2.1,,,,
,,,,,,,,,,,,,,2.15,,,,,2.12,,,,
,,,,,,,,,,,,,,2.12,,,,,2.15,2.16,,,
,,,,,,,,,,,,,,2.09,,,,,2.15,2.18,,,
,,,,,,,,,,,,,,2.08,2.08,,,,,2.21,,,
,,,,,,,,,,,,,,,2.08,2.1,,,2.2,2.23,,,
,,,,,,,,,,,,,,,,2.13,2.17,2.21,2.24,,,,
,,,,,,,,,,,,,,,,,2.23,2.26,,,,,
