0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,1.46,1.5,1.51,1.52,1.53,,,,,,,,,,,,,,,,,
,1.42,1.46,,,1.53,1.53,1.53,,,,,,,,,,,,,,,,
1.38,1.43,,,,,1.54,1.55,,,,,,,,,,,,,,,,
1.42,1.46,,,,,,1.57,1.58,,,,,,,,,,,,,,,
1.46,1.5,,,,,,,1.6,1.61,1.61,,,,,,,,,,,,,
1.5,1.54,,,,,,,,1.61,1.61,1.62,,,,,,,,,,,,
1.53,1.57,,,,,,,,,,1.62,1.64,1.67,1.7,,,,,,,,,
,1.6,,,,,,,,,,,,1.67,1.7,1.73,1.77,,,,,,,
,1.62,,,,,,,,,,,,,1.71,1.74,1.78,1.81,1.84,1.87,1.88,1.88,1.88,
,1.64,1.66,1.68,1.69,1.7,1.71,1.71,1.68,,,,,,,,,,,1.88,1.89,1.9,1.9,1.9
,,,,,,,,1.73,1.71,1.69,1.69,,,,,,,,,,,1.91,1.92
,,,,,,,,,,1.71,1.7,1.69,,,,,,,,,1.9,1.91,
,,,,,,,,,,,,1.68,,,,,,,,,1.89,1.91,
,,,,,,,,,,,,1.68,1.7,,,,,,,,1.88,,
,,,,,,,,,,1.69,1.68,1.69,1.7,,,,,,,,1.87,1.88,
,,,,,,,,,1.72,1.71,,1.71,1.71,1.72,,,,,,,,1.86,
,,,,,,,,,1.74,1.74,1.73,1.72,1.72,1.72,,,,,,,,1.83,1.83
,,,,,,,,,,,1.74,1.73,,1.71,,,,,,,,1.79,1.8
,,,,,,,,,,,,,1.7,1.7,,,,,,,,1.77,1.78
,,,,,,,,,,,,1.7,1.69,,,,,,,,,1.75,1.76
,,,,,,,,,,,,1.68,1.68,,,,,,,,1.72,1.73,
,,,,,,,,,,,,,1.66,1.66,,,,1.68,1.68,1.69,1.71,,
,,,,,,,,,,,,,1.66,1.65,,,,,1.68,,,,
,,,,,,,,,,,,,,1.64,,,,,1.69,,,,
,,,,,,,,,,,,,,1.63,,,,,1.71,1.73,,,
,,,,,,,,,,,,,,1.64,,,,,1.72,1.74,,,
,,,,,,,,,,,,,,1.67,1.66,,,,,1.74,,,
,,,,,,,,,,,,,,,1.69,1.7,,,1.72,1.73,,,
,,,,,,,,,,,,,,,,1.72,1.72,1.72,1.72,,,,
,,,,,,,,,,,,,,,,,1.74,1.74,,,,,
