0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,2.03,2.06,2.1,2.14,2.19,,,,,,,,,,,,,,,,,
,2.03,2.07,,,2.17,2.22,2.25,,,,,,,,,,,,,,,,
2.06,2.08,,,,,2.23,2.27,,,,,,,,,,,,,,,,
2.1,2.11,,,,,,2.27,2.3,,,,,,,,,,,,,,,
2.11,2.12,,,,,,,2.3,2.33,2.34,,,,,,,,,,,,,
2.1,2.1,,,,,,,,2.32,2.34,2.35,,,,,,,,,,,,
2.07,2.07,,,,,,,,,,2.36,2.37,2.39,2.4,,,,,,,,,
,2.05,,,,,,,,,,,,2.38,2.39,2.39,2.4,,,,,,,
,2.05,,,,,,,,,,,,,2.38,2.39,2.4,2.4,2.41,2.42,2.43,2.43,2.44,
,2.05,2.08,2.12,2.17,2.23,2.28,2.32,2.34,,,,,,,,,,,2.42,2.43,2.43,2.44,2.43
,,,,,,,,2.35,2.36,2.37,2.36,,,,,,,,,,,2.43,2.43
,,,,,,,,,,2.37,2.37,2.37,,,,,,,,,2.41,2.41,
,,,,,,,,,,,,2.36,,,,,,,,,2.39,2.4,
,,,,,,,,,,,,2.34,2.34,,,,,,,,2.37,,
,,,,,,,,,,2.29,2.31,2.32,2.32,,,,,,,,2.34,2.35,
,,,,,,,,,2.22,2.26,,2.29,2.3,2.29,,,,,,,,2.31,
,,,,,,,,,2.18,2.22,2.25,2.26,2.27,2.27,,,,,,,,2.26,2.28
,,,,,,,,,,,2.21,2.23,,2.24,,,,,,,,2.22,2.23
,,,,,,,,,,,,,2.2,2.21,,,,,,,,2.18,2.19
,,,,,,,,,,,,2.15,2.17,,,,,,,,,2.14,2.15
,,,,,,,,,,,,2.12,2.13,,,,,,,,2.09,2.09,
,,,,,,,,,,,,,2.1,2.12,,,,2.1,2.08,2.06,2.05,,
,,,,,,,,,,,,,2.08,2.09,,,,,2.05,,,,
,,,,,,,,,,,,,,2.07,,,,,2.03,,,,
,,,,,,,,,,,,,,2.03,,,,,2.0,1.99,,,
,,,,,,,,,,,,,,1.99,,,,,1.96,1.96,,,
,,,,,,,,,,,,,,1.94,1.94,,,,,1.93,,,
,,,,,,,,,,,,,,,1.88,1.88,,,1.88,1.89,,,
,,,,,,,,,,,,,,,,1.83,1.83,1.84,1.84,,,,
,,,,,,,,,,,,,,,,,1.81,1.81,,,,,
