0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,2.36,2.38,2.42,2.45,2.48,,,,,,,,,,,,,,,,,
,2.34,2.37,,,2.46,2.49,2.51,,,,,,,,,,,,,,,,
2.32,2.35,,,,,2.52,2.54,,,,,,,,,,,,,,,,
2.33,2.37,,,,,,2.56,2.58,,,,,,,,,,,,,,,
2.35,2.4,,,,,,,2.59,2.59,2.58,,,,,,,,,,,,,
2.39,2.43,,,,,,,,2.58,2.57,2.55,,,,,,,,,,,,
2.42,2.47,,,,,,,,,,2.54,2.52,2.51,2.51,,,,,,,,,
,2.49,,,,,,,,,,,,2.49,2.5,2.5,2.51,,,,,,,
,2.5,,,,,,,,,,,,,2.48,2.5,2.51,2.53,2.55,2.58,2.58,2.58,2.57,
,2.49,2.53,2.58,2.62,2.65,2.65,2.63,2.59,,,,,,,,,,,2.55,2.56,2.56,2.56,2.56
,,,,,,,,2.56,2.53,2.5,2.46,,,,,,,,,,,2.55,2.55
,,,,,,,,,,2.45,2.43,2.42,,,,,,,,,2.51,2.52,
,,,,,,,,,,,,2.38,,,,,,,,,2.48,2.5,
,,,,,,,,,,,,2.34,2.34,,,,,,,,2.45,,
,,,,,,,,,,2.28,2.3,2.3,2.31,,,,,,,,2.41,2.43,
,,,,,,,,,2.23,2.24,,2.27,2.28,2.28,,,,,,,,2.38,
,,,,,,,,,2.2,2.21,2.22,2.24,2.25,2.25,,,,,,,,2.3,2.3
,,,,,,,,,,,2.19,2.21,,2.22,,,,,,,,2.22,2.21
,,,,,,,,,,,,,2.19,2.19,,,,,,,,2.15,2.14
,,,,,,,,,,,,2.15,2.16,,,,,,,,,2.09,2.09
,,,,,,,,,,,,2.13,2.13,,,,,,,,2.04,2.04,
,,,,,,,,,,,,,2.11,2.11,,,,2.06,2.03,2.01,2.01,,
,,,,,,,,,,,,,2.08,2.08,,,,,2.01,,,,
,,,,,,,,,,,,,,2.06,,,,,2.02,,,,
,,,,,,,,,,,,,,2.02,,,,,2.05,2.06,,,
,,,,,,,,,,,,,,1.98,,,,,2.05,2.08,,,
,,,,,,,,,,,,,,1.97,1.97,,,,,2.1,,,
,,,,,,,,,,,,,,,1.97,1.98,,,2.08,2.11,,,
,,,,,,,,,,,,,,,,2.01,2.05,2.09,2.12,,,,
,,,,,,,,,,,,,,,,,2.1,2.13,,,,,
