0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,3.09,3.15,3.21,3.27,3.33,,,,,,,,,,,,,,,,,
,3.09,3.14,,,3.32,3.38,3.42,,,,,,,,,,,,,,,,
3.11,3.16,,,,,3.42,3.47,,,,,,,,,,,,,,,,
3.18,3.21,,,,,,3.5,3.53,,,,,,,,,,,,,,,
3.23,3.26,,,,,,,3.54,3.56,3.56,,,,,,,,,,,,,
3.25,3.28,,,,,,,,3.55,3.56,3.56,,,,,,,,,,,,
3.25,3.29,,,,,,,,,,3.56,3.57,3.58,3.6,,,,,,,,,
,3.3,,,,,,,,,,,,3.57,3.6,3.61,3.63,,,,,,,
,3.31,,,,,,,,,,,,,3.59,3.62,3.64,3.67,3.7,3.73,3.75,3.76,3.75,
,3.32,3.37,3.45,3.52,3.6,3.65,3.66,3.64,,,,,,,,,,,3.71,3.73,3.74,3.74,3.72
,,,,,,,,3.64,3.62,3.6,3.56,,,,,,,,,,,3.72,3.7
,,,,,,,,,,3.58,3.56,3.55,,,,,,,,,3.68,3.68,
,,,,,,,,,,,,3.52,,,,,,,,,3.64,3.64,
,,,,,,,,,,,,3.48,3.49,,,,,,,,3.6,,
,,,,,,,,,,3.4,3.43,3.44,3.46,,,,,,,,3.55,3.56,
,,,,,,,,,3.31,3.35,,3.4,3.42,3.42,,,,,,,,3.5,
,,,,,,,,,3.26,3.3,3.34,3.36,3.38,3.38,,,,,,,,3.41,3.41
,,,,,,,,,,,3.28,3.31,,3.35,,,,,,,,3.33,3.32
,,,,,,,,,,,,,3.28,3.3,,,,,,,,3.25,3.25
,,,,,,,,,,,,3.2,3.23,,,,,,,,,3.18,3.18
,,,,,,,,,,,,3.15,3.17,,,,,,,,3.11,3.1,
,,,,,,,,,,,,,3.12,3.14,,,,3.13,3.1,3.07,3.05,,
,,,,,,,,,,,,,3.08,3.09,,,,,3.06,,,,
,,,,,,,,,,,,,,3.05,,,,,3.06,,,,
,,,,,,,,,,,,,,3.0,,,,,3.05,3.05,,,
,,,,,,,,,,,,,,2.95,,,,,3.02,3.05,,,
,,,,,,,,,,,,,,2.91,2.92,,,,,3.04,,,
,,,,,,,,,,,,,,,2.86,2.88,,,2.97,3.01,,,
,,,,,,,,,,,,,,,,2.86,2.9,2.93,2.96,,,,
,,,,,,,,,,,,,,,,,2.91,2.94,,,,,
