0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.29,0.31,0.32,0.33,0.33,,,,,,,,,,,,,,,,,
,0.26,0.28,,,0.32,0.32,0.31,,,,,,,,,,,,,,,,
0.24,0.26,,,,,0.31,0.3,,,,,,,,,,,,,,,,
0.25,0.27,,,,,,0.3,0.3,,,,,,,,,,,,,,,
0.27,0.29,,,,,,,0.31,0.31,0.3,,,,,,,,,,,,,
0.3,0.32,,,,,,,,0.33,0.32,0.31,,,,,,,,,,,,
0.33,0.36,,,,,,,,,,0.33,0.31,0.28,0.26,,,,,,,,,
,0.39,,,,,,,,,,,,0.29,0.26,0.25,0.24,,,,,,,
,0.41,,,,,,,,,,,,,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,
,0.42,0.44,0.45,0.45,0.45,0.43,0.42,0.42,,,,,,,,,,,0.23,0.23,0.24,0.24,0.26
,,,,,,,,0.43,0.41,0.38,0.35,,,,,,,,,,,0.25,0.26
,,,,,,,,,,0.37,0.33,0.3,,,,,,,,,0.24,0.25,
,,,,,,,,,,,,0.29,,,,,,,,,0.23,0.24,
,,,,,,,,,,,,0.28,0.26,,,,,,,,0.22,,
,,,,,,,,,,0.34,0.31,0.28,0.26,,,,,,,,0.21,0.22,
,,,,,,,,,0.36,0.34,,0.28,0.26,0.24,,,,,,,,0.2,
,,,,,,,,,0.36,0.34,0.31,0.28,0.26,0.24,,,,,,,,0.18,0.2
,,,,,,,,,,,0.3,0.27,,0.23,,,,,,,,0.16,0.18
,,,,,,,,,,,,,0.24,0.22,,,,,,,,0.15,0.16
,,,,,,,,,,,,0.24,0.22,,,,,,,,,0.14,0.14
,,,,,,,,,,,,0.22,0.2,,,,,,,,0.13,0.13,
,,,,,,,,,,,,,0.18,0.16,,,,0.13,0.13,0.13,0.12,,
,,,,,,,,,,,,,0.16,0.15,,,,,0.12,,,,
,,,,,,,,,,,,,,0.13,,,,,0.11,,,,
,,,,,,,,,,,,,,0.13,,,,,0.1,0.1,,,
,,,,,,,,,,,,,,0.13,,,,,0.1,0.1,,,
,,,,,,,,,,,,,,0.13,0.13,,,,,0.12,,,
,,,,,,,,,,,,,,,0.13,0.13,,,0.13,0.13,,,
,,,,,,,,,,,,,,,,0.14,0.14,0.14,0.15,,,,
,,,,,,,,,,,,,,,,,0.16,0.16,,,,,
