0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,1.46,1.5,1.51,1.52,1.53,,,,,,,,,,,,,,,,,
,1.42,1.46,,,1.53,1.53,1.53,,,,,,,,,,,,,,,,
1.38,1.43,,,,,1.54,1.55,,,,,,,,,,,,,,,,
1.42,1.46,,,,,,1.57,1.58,,,,,,,,,,,,,,,
1.46,1.5,,,,,,,1.61,1.61,1.62,,,,,,,,,,,,,
1.5,1.54,,,,,,,,1.61,1.62,1.63,,,,,,,,,,,,
1.54,1.58,,,,,,,,,,1.63,1.66,1.69,1.73,,,,,,,,,
,1.61,,,,,,,,,,,,1.7,1.74,1.77,1.81,,,,,,,
,1.64,,,,,,,,,,,,,1.75,1.79,1.83,1.87,1.9,1.93,1.94,1.94,1.93,
,1.65,1.68,1.7,1.71,1.72,1.74,1.73,1.71,,,,,,,,,,,1.93,1.95,1.95,1.95,1.95
,,,,,,,,1.77,1.76,1.75,1.75,,,,,,,,,,,1.96,1.96
,,,,,,,,,,1.78,1.77,1.77,,,,,,,,,1.95,1.96,
,,,,,,,,,,,,1.76,,,,,,,,,1.94,1.95,
,,,,,,,,,,,,1.77,1.78,,,,,,,,1.93,,
,,,,,,,,,,1.79,1.78,1.78,1.79,,,,,,,,1.92,1.93,
,,,,,,,,,1.83,1.82,,1.81,1.81,1.8,,,,,,,,1.9,
,,,,,,,,,1.85,1.85,1.84,1.82,1.81,1.81,,,,,,,,1.87,1.87
,,,,,,,,,,,1.84,1.83,,1.8,,,,,,,,1.84,1.85
,,,,,,,,,,,,,1.8,1.79,,,,,,,,1.82,1.83
,,,,,,,,,,,,1.8,1.78,,,,,,,,,1.8,1.81
,,,,,,,,,,,,1.77,1.76,,,,,,,,1.77,1.79,
,,,,,,,,,,,,,1.75,1.75,,,,1.74,1.75,1.76,1.77,,
,,,,,,,,,,,,,1.74,1.73,,,,,1.75,,,,
,,,,,,,,,,,,,,1.72,,,,,1.76,,,,
,,,,,,,,,,,,,,1.71,,,,,1.78,1.8,,,
,,,,,,,,,,,,,,1.72,,,,,1.79,1.81,,,
,,,,,,,,,,,,,,1.74,1.74,,,,,1.82,,,
,,,,,,,,,,,,,,,1.77,1.77,,,1.8,1.81,,,
,,,,,,,,,,,,,,,,1.8,1.8,1.8,1.8,,,,
,,,,,,,,,,,,,,,,,1.82,1.82,,,,,
