region_name,longitude,latitude,time_period,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM,ensemble_mean_no_dhw_8,ensemble_min_no_dhw_8,ensemble_max_no_dhw_8
Caribbean,-68.23,12.1,2021-2040,459.0,2042.0,59.0,437.0,792.0,297.0,1801.0,899.0,1149.0,354.0,357.0,1631.0,1208.0,608.0,864.0,59.0,2042.0
Caribbean,-68.22,12.1,2021-2040,457.0,2043.0,62.0,433.0,794.0,297.0,1795.0,902.0,1149.0,354.0,357.0,1637.0,1212.0,611.0,865.0,62.0,2043.0
Caribbean,-68.21,12.1,2021-2040,457.0,2043.0,63.0,433.0,798.0,296.0,1795.0,902.0,1147.0,356.0,358.0,1638.0,1211.0,610.0,865.0,63.0,2043.0
Caribbean,-68.3,12.11,2021-2040,537.0,2031.0,55.0,473.0,744.0,292.0,1797.0,896.0,1124.0,348.0,359.0,1565.0,1195.0,584.0,857.0,55.0,2031.0
Caribbean,-68.29,12.11,2021-2040,531.0,2028.0,56.0,472.0,744.0,292.0,1798.0,896.0,1128.0,348.0,359.0,1566.0,1201.0,586.0,858.0,56.0,2028.0
Caribbean,-68.21,12.11,2021-2040,457.0,2041.0,63.0,435.0,795.0,294.0,1799.0,903.0,1130.0,354.0,355.0,1636.0,1207.0,608.0,863.0,63.0,2041.0
Caribbean,-68.2,12.11,2021-2040,457.0,2037.0,63.0,433.0,799.0,294.0,1798.0,901.0,1131.0,356.0,354.0,1639.0,1207.0,608.0,863.0,63.0,2037.0
Caribbean,-68.3,12.12,2021-2040,536.0,2019.0,55.0,474.0,742.0,291.0,1798.0,898.0,1123.0,347.0,359.0,1560.0,1189.0,579.0,855.0,55.0,2019.0
Caribbean,-68.29,12.12,2021-2040,532.0,2023.0,55.0,474.0,745.0,292.0,1800.0,897.0,1125.0,347.0,359.0,1566.0,1191.0,580.0,856.0,55.0,2023.0
Caribbean,-68.2,12.12,2021-2040,457.0,2039.0,63.0,435.0,800.0,294.0,1801.0,902.0,1129.0,354.0,354.0,1638.0,1201.0,605.0,862.0,63.0,2039.0
Caribbean,-68.19,12.12,2021-2040,457.0,2039.0,63.0,434.0,802.0,294.0,1802.0,903.0,1131.0,355.0,354.0,1642.0,1206.0,605.0,863.0,63.0,2039.0
Caribbean,-68.29,12.13,2021-2040,536.0,2013.0,55.0,475.0,743.0,288.0,1800.0,897.0,1120.0,349.0,358.0,1561.0,1187.0,578.0,854.0,55.0,2013.0
Caribbean,-68.28,12.13,2021-2040,532.0,2017.0,55.0,473.0,746.0,289.0,1800.0,898.0,1123.0,350.0,358.0,1566.0,1187.0,578.0,855.0,55.0,2017.0
Caribbean,-68.2,12.13,2021-2040,457.0,2038.0,62.0,437.0,801.0,291.0,1803.0,902.0,1130.0,354.0,353.0,1623.0,1200.0,603.0,861.0,62.0,2038.0
Caribbean,-68.19,12.13,2021-2040,456.0,2037.0,63.0,436.0,803.0,291.0,1803.0,902.0,1130.0,354.0,352.0,1638.0,1203.0,604.0,862.0,63.0,2037.0
Caribbean,-68.31,12.14,2021-2040,542.0,2006.0,55.0,475.0,739.0,287.0,1800.0,895.0,1112.0,348.0,359.0,1553.0,1184.0,563.0,851.0,55.0,2006.0
Caribbean,-68.3,12.14,2021-2040,541.0,2007.0,55.0,474.0,741.0,287.0,1800.0,894.0,1112.0,348.0,359.0,1556.0,1183.0,564.0,852.0,55.0,2007.0
Caribbean,-68.28,12.14,2021-2040,537.0,2009.0,55.0,474.0,747.0,288.0,1801.0,896.0,1114.0,349.0,359.0,1569.0,1185.0,572.0,854.0,55.0,2009.0
Caribbean,-68.2,12.14,2021-2040,458.0,2029.0,62.0,438.0,801.0,291.0,1808.0,905.0,1130.0,354.0,352.0,1619.0,1200.0,602.0,861.0,62.0,2029.0
Caribbean,-68.19,12.14,2021-2040,455.0,2028.0,62.0,438.0,802.0,291.0,1808.0,905.0,1131.0,354.0,354.0,1625.0,1203.0,602.0,861.0,62.0,2028.0
Caribbean,-68.33,12.15,2021-2040,545.0,2001.0,55.0,476.0,737.0,287.0,1817.0,895.0,1107.0,347.0,358.0,1538.0,1180.0,560.0,850.0,55.0,2001.0
Caribbean,-68.32,12.15,2021-2040,545.0,2001.0,55.0,474.0,737.0,287.0,1800.0,895.0,1108.0,347.0,359.0,1545.0,1181.0,562.0,850.0,55.0,2001.0
Caribbean,-68.31,12.15,2021-2040,543.0,2001.0,55.0,474.0,738.0,287.0,1799.0,895.0,1110.0,347.0,359.0,1549.0,1181.0,562.0,850.0,55.0,2001.0
Caribbean,-68.3,12.15,2021-2040,543.0,2004.0,55.0,474.0,739.0,287.0,1800.0,895.0,1113.0,347.0,359.0,1553.0,1181.0,562.0,851.0,55.0,2004.0
Caribbean,-68.29,12.15,2021-2040,543.0,2001.0,56.0,474.0,743.0,286.0,1799.0,894.0,1097.0,347.0,357.0,1559.0,1180.0,563.0,850.0,56.0,2001.0
Caribbean,-68.28,12.15,2021-2040,539.0,2004.0,56.0,474.0,780.0,287.0,1800.0,895.0,1099.0,348.0,356.0,1567.0,1182.0,563.0,854.0,56.0,2004.0
Caribbean,-68.2,12.15,2021-2040,458.0,2025.0,60.0,439.0,801.0,290.0,1810.0,906.0,1131.0,354.0,354.0,1615.0,1198.0,599.0,860.0,60.0,2025.0
Caribbean,-68.19,12.15,2021-2040,455.0,2000.0,64.0,438.0,839.0,290.0,1810.0,905.0,1131.0,354.0,354.0,1617.0,1200.0,601.0,861.0,64.0,2000.0
Caribbean,-68.33,12.16,2021-2040,579.0,1997.0,53.0,481.0,737.0,287.0,1819.0,895.0,1107.0,345.0,358.0,1539.0,1176.0,560.0,852.0,53.0,1997.0
Caribbean,-68.32,12.16,2021-2040,580.0,1997.0,54.0,475.0,737.0,287.0,1803.0,894.0,1106.0,346.0,358.0,1544.0,1175.0,560.0,851.0,54.0,1997.0
Caribbean,-68.3,12.16,2021-2040,543.0,2000.0,56.0,474.0,740.0,286.0,1801.0,894.0,1092.0,346.0,356.0,1553.0,1177.0,563.0,849.0,56.0,2000.0
Caribbean,-68.29,12.16,2021-2040,542.0,2000.0,56.0,474.0,743.0,286.0,1801.0,895.0,1095.0,345.0,355.0,1559.0,1179.0,564.0,850.0,56.0,2000.0
Caribbean,-68.28,12.16,2021-2040,541.0,2004.0,58.0,474.0,781.0,286.0,1801.0,893.0,1094.0,346.0,356.0,1569.0,1181.0,564.0,853.0,58.0,2004.0
Caribbean,-68.2,12.16,2021-2040,491.0,2001.0,62.0,439.0,800.0,289.0,1814.0,907.0,1129.0,355.0,353.0,1615.0,1197.0,600.0,861.0,62.0,2001.0
Caribbean,-68.32,12.17,2021-2040,579.0,1997.0,55.0,475.0,739.0,286.0,1820.0,896.0,1087.0,342.0,356.0,1546.0,1174.0,558.0,851.0,55.0,1997.0
Caribbean,-68.31,12.17,2021-2040,581.0,1997.0,55.0,475.0,740.0,286.0,1806.0,895.0,1089.0,343.0,356.0,1550.0,1174.0,558.0,850.0,55.0,1997.0
Caribbean,-68.3,12.17,2021-2040,578.0,1997.0,55.0,475.0,741.0,286.0,1805.0,895.0,1088.0,344.0,355.0,1553.0,1175.0,561.0,851.0,55.0,1997.0
Caribbean,-68.29,12.17,2021-2040,542.0,1998.0,58.0,475.0,744.0,286.0,1804.0,895.0,1086.0,344.0,355.0,1559.0,1177.0,562.0,849.0,58.0,1998.0
Caribbean,-68.21,12.17,2021-2040,493.0,2001.0,62.0,442.0,797.0,287.0,1818.0,908.0,1127.0,355.0,352.0,1613.0,1194.0,594.0,860.0,62.0,2001.0
Caribbean,-68.2,12.17,2021-2040,491.0,2001.0,62.0,439.0,797.0,287.0,1820.0,907.0,1127.0,355.0,345.0,1617.0,1195.0,596.0,860.0,62.0,2001.0
Caribbean,-68.3,12.18,2021-2040,578.0,1992.0,55.0,475.0,742.0,286.0,1808.0,895.0,1087.0,342.0,355.0,1554.0,1174.0,560.0,850.0,55.0,1992.0
Caribbean,-68.29,12.18,2021-2040,542.0,1994.0,57.0,475.0,780.0,284.0,1808.0,896.0,1087.0,343.0,355.0,1562.0,1174.0,560.0,851.0,57.0,1994.0
Caribbean,-68.21,12.18,2021-2040,495.0,2002.0,64.0,442.0,796.0,286.0,1821.0,908.0,1114.0,356.0,343.0,1616.0,1194.0,591.0,859.0,64.0,2002.0
Caribbean,-68.3,12.19,2021-2040,542.0,1993.0,57.0,476.0,777.0,284.0,1806.0,896.0,1085.0,343.0,354.0,1557.0,1173.0,560.0,850.0,57.0,1993.0
Caribbean,-68.21,12.19,2021-2040,494.0,1998.0,64.0,442.0,793.0,285.0,1823.0,907.0,1110.0,355.0,341.0,1611.0,1194.0,590.0,858.0,64.0,1998.0
Caribbean,-68.2,12.19,2021-2040,494.0,1998.0,64.0,442.0,795.0,286.0,1825.0,908.0,1114.0,356.0,340.0,1617.0,1194.0,591.0,859.0,64.0,1998.0
Caribbean,-68.32,12.2,2021-2040,579.0,1997.0,55.0,478.0,742.0,285.0,1830.0,899.0,1081.0,345.0,354.0,1548.0,1173.0,558.0,852.0,55.0,1997.0
Caribbean,-68.31,12.2,2021-2040,579.0,1995.0,57.0,478.0,743.0,284.0,1829.0,898.0,1082.0,345.0,354.0,1554.0,1173.0,558.0,852.0,57.0,1995.0
Caribbean,-68.3,12.2,2021-2040,544.0,1997.0,57.0,477.0,780.0,284.0,1812.0,897.0,1085.0,346.0,354.0,1556.0,1172.0,559.0,851.0,57.0,1997.0
Caribbean,-68.21,12.2,2021-2040,494.0,1959.0,65.0,443.0,792.0,285.0,1826.0,907.0,1103.0,352.0,340.0,1615.0,1190.0,588.0,854.0,65.0,1959.0
Caribbean,-68.2,12.2,2021-2040,493.0,1959.0,65.0,440.0,793.0,285.0,1826.0,908.0,1135.0,353.0,339.0,1620.0,1194.0,591.0,857.0,65.0,1959.0
