region_name,longitude,latitude,time_period,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM,ensemble_mean_no_dhw_8,ensemble_min_no_dhw_8,ensemble_max_no_dhw_8
Caribbean,-68.25,12.02,2021-2040,545.0,2653.0,11.0,489.0,842.0,199.0,1765.0,467.0,,280.0,485.0,450.0,654.0,328.0,705.0,11.0,2653.0
Caribbean,-68.24,12.02,2021-2040,544.0,2665.0,12.0,488.0,842.0,198.0,1767.0,466.0,,281.0,487.0,459.0,654.0,330.0,707.0,12.0,2665.0
Caribbean,-68.26,12.03,2021-2040,544.0,2646.0,9.0,490.0,841.0,196.0,1762.0,468.0,,283.0,461.0,449.0,654.0,330.0,703.0,9.0,2646.0
Caribbean,-68.25,12.03,2021-2040,543.0,2655.0,10.0,488.0,842.0,198.0,1767.0,467.0,,284.0,482.0,452.0,654.0,330.0,706.0,10.0,2655.0
Caribbean,-68.24,12.03,2021-2040,543.0,2661.0,10.0,488.0,843.0,198.0,1769.0,467.0,,283.0,482.0,460.0,654.0,329.0,707.0,10.0,2661.0
Caribbean,-68.23,12.03,2021-2040,543.0,2665.0,10.0,487.0,842.0,198.0,1773.0,467.0,,283.0,483.0,474.0,654.0,331.0,708.0,10.0,2665.0
Caribbean,-68.27,12.04,2021-2040,543.0,2639.0,9.0,493.0,841.0,195.0,1760.0,468.0,,283.0,458.0,448.0,655.0,328.0,702.0,9.0,2639.0
Caribbean,-68.26,12.04,2021-2040,542.0,2645.0,9.0,489.0,842.0,195.0,1765.0,470.0,,283.0,459.0,450.0,654.0,328.0,702.0,9.0,2645.0
Caribbean,-68.23,12.04,2021-2040,542.0,2663.0,10.0,488.0,843.0,191.0,1776.0,470.0,,284.0,481.0,471.0,655.0,328.0,708.0,10.0,2663.0
Caribbean,-68.22,12.04,2021-2040,542.0,2669.0,10.0,484.0,843.0,191.0,1778.0,470.0,,284.0,481.0,474.0,652.0,330.0,708.0,10.0,2669.0
Caribbean,-68.28,12.05,2021-2040,545.0,2632.0,0.0,495.0,839.0,194.0,1760.0,469.0,,284.0,456.0,448.0,654.0,325.0,700.0,0.0,2632.0
Caribbean,-68.27,12.05,2021-2040,543.0,2640.0,0.0,492.0,841.0,185.0,1762.0,470.0,,284.0,456.0,451.0,655.0,327.0,700.0,0.0,2640.0
Caribbean,-68.22,12.05,2021-2040,542.0,2669.0,7.0,486.0,843.0,189.0,1756.0,472.0,,286.0,461.0,476.0,649.0,330.0,705.0,7.0,2669.0
Caribbean,-68.28,12.06,2021-2040,545.0,2629.0,0.0,496.0,840.0,176.0,1760.0,471.0,,284.0,455.0,453.0,654.0,326.0,699.0,0.0,2629.0
