region_name,longitude,latitude,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM
Caribbean,-68.25,12.02,28.824,28.131,28.712,28.599,28.354,28.754,28.143,28.527,,28.459,28.85,,28.384,28.591
Caribbean,-68.24,12.02,28.828,28.133,28.715,28.602,28.357,28.759,28.144,28.53,,28.462,28.854,,28.387,28.594
Caribbean,-68.26,12.03,28.816,28.125,28.704,28.592,28.346,28.748,28.139,28.519,,28.453,28.842,,28.376,28.584
Caribbean,-68.25,12.03,28.82,28.127,28.707,28.594,28.349,28.753,28.14,28.522,,28.456,28.846,,28.379,28.587
Caribbean,-68.24,12.03,28.824,28.129,28.712,28.598,28.353,28.758,28.142,28.526,,28.46,28.85,,28.383,28.59
Caribbean,-68.23,12.03,28.828,28.132,28.716,28.601,28.356,28.763,28.144,28.529,,28.464,28.854,,28.387,28.593
Caribbean,-68.27,12.04,28.809,28.12,28.697,28.585,28.34,28.743,28.136,28.513,,28.448,28.836,,28.37,28.577
Caribbean,-68.26,12.04,28.812,28.121,28.699,28.587,28.342,28.746,28.136,28.515,,28.45,28.838,,28.372,28.579
Caribbean,-68.23,12.04,28.825,28.128,28.713,28.597,28.352,28.763,28.142,28.526,,28.462,28.85,,28.383,28.59
Caribbean,-68.22,12.04,28.918,28.131,28.717,28.828,28.355,28.768,28.144,28.529,,28.466,28.854,,28.387,28.593
Caribbean,-68.28,12.05,28.804,28.117,28.691,28.58,28.336,28.739,28.135,28.509,,28.444,28.83,,28.366,28.573
Caribbean,-68.27,12.05,28.805,28.117,28.693,28.581,28.336,28.742,28.133,28.509,,28.445,28.831,,28.366,28.573
Caribbean,-68.22,12.05,28.916,28.128,28.715,28.825,28.353,28.768,28.143,28.526,,28.465,28.852,,28.384,28.591
Caribbean,-68.28,12.06,28.888,28.114,28.687,28.576,28.332,28.738,28.133,28.505,,28.442,28.826,,28.362,28.568
Caribbean,-68.23,12.06,28.911,28.124,28.709,28.818,28.348,28.764,28.14,28.522,,28.462,28.847,,28.379,28.586
Caribbean,-68.22,12.06,28.916,28.126,28.714,28.823,28.351,28.77,28.142,28.525,,28.466,28.851,,28.383,28.59
Caribbean,-68.28,12.07,28.885,28.111,28.684,28.572,28.328,28.737,28.131,28.501,,28.441,28.822,,28.359,28.565
Caribbean,-68.23,12.07,28.91,28.121,28.707,28.816,28.346,28.766,28.139,28.52,,28.462,28.845,,28.378,28.584
Caribbean,-68.22,12.07,28.916,28.125,28.713,28.821,28.349,28.772,28.142,28.524,,28.466,28.85,,28.382,28.588
Caribbean,-68.28,12.08,28.882,28.108,28.681,28.568,28.325,28.736,28.128,28.498,,28.439,28.818,,28.356,28.562
Caribbean,-68.23,12.08,28.909,28.12,28.706,28.814,28.344,28.767,28.138,28.518,,28.462,28.844,,28.376,28.583
Caribbean,-68.29,12.09,28.877,28.107,28.677,28.565,28.323,28.734,28.128,28.495,,28.438,28.814,,28.354,28.559
Caribbean,-68.28,12.09,28.879,28.105,28.678,28.564,28.322,28.736,28.126,28.495,,28.438,28.815,,28.354,28.559
Caribbean,-68.23,12.09,28.907,28.117,28.704,28.811,28.341,28.768,28.135,28.516,,28.461,28.842,,28.374,28.581
Caribbean,-68.29,12.1,28.874,28.104,28.673,28.56,28.319,28.732,28.124,28.492,,28.436,28.81,,28.35,28.555
Caribbean,-68.28,12.1,28.875,28.102,28.674,28.778,28.319,28.734,28.122,28.492,,28.436,28.81,,28.35,28.555
Caribbean,-68.24,12.1,28.897,28.11,28.694,28.799,28.333,28.759,28.129,28.507,,28.454,28.831,,28.366,28.571
Caribbean,-68.23,12.1,28.904,28.113,28.701,28.806,28.536,28.766,28.132,28.512,,28.46,28.838,,28.371,28.577
Caribbean,-68.22,12.1,28.909,28.116,28.705,28.811,28.54,28.772,28.134,28.516,,28.464,28.843,,28.374,28.581
Caribbean,-68.21,12.1,28.913,28.118,28.709,28.814,28.542,28.777,28.135,28.518,,28.466,28.846,,28.377,28.583
Caribbean,-68.3,12.11,28.871,28.104,28.67,28.558,28.317,28.73,28.125,28.489,,28.435,28.806,,28.348,28.552
Caribbean,-68.29,12.11,28.869,28.1,28.668,28.771,28.314,28.73,28.12,28.487,,28.433,28.805,,28.346,28.55
Caribbean,-68.21,12.11,28.908,28.113,28.704,28.809,28.537,28.774,28.131,28.513,,28.463,28.841,,28.373,28.578
Caribbean,-68.2,12.11,28.911,28.114,28.706,28.811,28.538,28.777,28.131,28.514,,28.465,28.843,,28.374,28.58
Caribbean,-68.3,12.12,28.866,28.1,28.665,28.553,28.312,28.728,28.121,28.485,,28.432,28.802,,28.344,28.548
Caribbean,-68.29,12.12,28.865,28.096,28.664,28.766,28.31,28.728,28.116,28.483,,28.43,28.8,,28.342,28.546
Caribbean,-68.2,12.12,28.906,28.108,28.701,28.805,28.533,28.774,28.126,28.509,,28.462,28.837,,28.37,28.574
Caribbean,-68.19,12.12,28.908,28.108,28.703,28.807,28.534,28.777,28.125,28.51,,28.463,28.838,,28.371,28.575
Caribbean,-68.29,12.13,28.861,28.092,28.66,28.76,28.306,28.726,28.112,28.479,,28.428,28.796,,28.338,28.541
Caribbean,-68.28,12.13,28.862,28.09,28.661,28.762,28.502,28.728,28.11,28.479,,28.429,28.796,,28.338,28.542
Caribbean,-68.2,12.13,28.902,28.104,28.696,28.799,28.528,28.772,28.121,28.505,,28.459,28.832,,28.366,28.57
Caribbean,-68.19,12.13,28.904,28.104,28.699,28.802,28.53,28.775,28.121,28.506,,28.461,28.834,,28.367,28.571
Caribbean,-68.31,12.14,28.864,28.1,28.663,28.55,28.31,28.729,28.122,28.483,,28.433,28.798,,28.342,28.546
Caribbean,-68.3,12.14,28.859,28.093,28.658,28.757,28.5,28.726,28.114,28.478,,28.428,28.794,,28.337,28.54
Caribbean,-68.28,12.14,28.859,28.087,28.657,28.757,28.498,28.727,28.107,28.475,,28.427,28.792,,28.335,28.538
Caribbean,-68.2,12.14,28.898,28.1,28.693,28.795,28.525,28.771,28.117,28.501,,28.457,28.828,,28.363,28.566
Caribbean,-68.19,12.14,28.901,28.101,28.696,28.798,28.527,28.774,28.118,28.503,,28.459,28.831,,28.365,28.568
Caribbean,-68.33,12.15,28.875,28.116,28.674,28.565,28.518,28.741,28.138,28.495,,28.446,28.81,,28.354,28.558
Caribbean,-68.32,12.15,28.866,28.105,28.665,28.554,28.509,28.733,28.127,28.486,,28.437,28.801,,28.345,28.549
Caribbean,-68.31,12.15,28.859,28.097,28.658,28.757,28.501,28.727,28.118,28.479,,28.431,28.794,,28.338,28.541
Caribbean,-68.3,12.15,28.856,28.09,28.655,28.753,28.497,28.724,28.111,28.474,,28.427,28.79,,28.334,28.537
Caribbean,-68.29,12.15,28.855,28.086,28.653,28.752,28.495,28.724,28.107,28.472,,28.425,28.788,,28.332,28.535
